source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n,Concd13C,Concd15N,Concd34S
Periphyton,-24.97,1.845340077,2.765,1.532041122,12.706,5.42790291,6,9.96286627,0.61133538,0.32154908
Floc,-29.39166667,1.360020833,2.35,0.501677187,16.04,0.657000761,6,22.968252,2.278399738,0.242933634
Sawgrass,-26.94,1.068681431,-2.935,2.84817661,11.02666667,7.607755692,6,46.21971564,1.047300328,0.235037519
Phytoplankton,-33.53,0.46,2.6,0.25,11.25,1.34,6,33.08,3.1,3.265
