source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n,Concd13C,Concd15N,Concd34S
SPOM,-17.8825,0.780272388,3.15,0.351662717,7.8375,3.267388101,4,13.50605902,1.285893859,0.3825
Epiphytes,-14.492,7.606248747,1.9,1.163679509,12.38,5.525359717,5,10.350835,0.64965,0.631971171
Seagrass,-8.47,0.77,1.3,0.56,8.31,3.77,12,31.16,1.52,0.78
Mangrove,-26.65181818,0.908702038,3.028181818,3.18720752,-7.58,4.64,22,43.23326707,1.005117258,1.165710026
