source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n,Concd13C,Concd15N,Concd34S
Mangrove,-27.98166667,0.49458737,3.843333333,1.545647653,-10.06666667,1.58899549,6,49.12581133,1.011222767,0.569979959
Epiphytes,-25.93833333,3.68505857,5.941666667,1.115462535,9.546,6.651926789,6,31.14166667,2.301666667,1.48027037
Phytoplankton,-38.9,1.13137085,4.5,0.83,19.5,0.01,2,24.3,1.9,0.7
Floc,-28.92666667,2.464164497,3.056666667,1.214984225,20.806,4.563401144,6,31.29493526,2.866710574,0.649920535
