"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Atlantic Modulus","TS10","Epiphytes","Wet",0.166,0.119,0.006,0.444,0.143,0.07,0.24,0.444,0.006
"Atlantic Modulus","TS10","Mangrove","Wet",0.039,0.025,0.003,0.099,0.035,0.019,0.053,0.099,0.003
"Atlantic Modulus","TS10","Seagrass","Wet",0.557,0.119,0.316,0.775,0.56,0.477,0.642,0.775,0.316
"Atlantic Modulus","TS10","SPOM","Wet",0.239,0.142,0.043,0.593,0.206,0.134,0.316,0.589,0.043
"Barracuda","TS10","Epiphytes","Wet",0.12,0.126,0.003,0.457,0.078,0.032,0.166,0.367,0.003
"Barracuda","TS10","Mangrove","Wet",0.056,0.058,0.001,0.213,0.036,0.013,0.082,0.1855,0.001
"Barracuda","TS10","Seagrass","Wet",0.375,0.162,0.097,0.693,0.36,0.25,0.494,0.693,0.097
"Barracuda","TS10","SPOM","Wet",0.449,0.212,0.044,0.84,0.442,0.29,0.611,0.84,0.044
"Blue Crab","TS10","Epiphytes","Dry",0.47,0.25,0.009,0.887,0.5,0.282,0.663,0.887,0.009
"Blue Crab","TS10","Mangrove","Dry",0.047,0.041,0.001,0.146,0.035,0.015,0.07,0.146,0.001
"Blue Crab","TS10","Seagrass","Dry",0.263,0.139,0.043,0.561,0.251,0.156,0.359,0.561,0.043
"Blue Crab","TS10","SPOM","Dry",0.22,0.229,0.007,0.821,0.13,0.05,0.308,0.695,0.007
"Blue Crab","TS10","Epiphytes","Wet",0.18,0.154,0.003,0.567,0.144,0.056,0.264,0.567,0.003
"Blue Crab","TS10","Mangrove","Wet",0.045,0.039,0.001,0.14,0.035,0.014,0.065,0.14,0.001
"Blue Crab","TS10","Seagrass","Wet",0.562,0.174,0.19,0.861,0.575,0.445,0.69,0.861,0.19
"Blue Crab","TS10","SPOM","Wet",0.213,0.185,0.011,0.693,0.157,0.069,0.306,0.6615,0.011
"Bluegill","TS10","Epiphytes","Dry",0.455,0.254,0.01,0.896,0.474,0.254,0.657,0.896,0.01
"Bluegill","TS10","Mangrove","Dry",0.035,0.033,0.002,0.122,0.025,0.011,0.049,0.106,0.002
"Bluegill","TS10","Seagrass","Dry",0.298,0.159,0.028,0.634,0.29,0.176,0.405,0.634,0.028
"Bluegill","TS10","SPOM","Dry",0.212,0.202,0.007,0.719,0.14,0.053,0.321,0.719,0.007
"Brown Grass Shrimp","TS10","Epiphytes","Wet",0.268,0.245,0.003,0.792,0.181,0.053,0.458,0.792,0.003
"Brown Grass Shrimp","TS10","Mangrove","Wet",0.032,0.03,0.001,0.107,0.022,0.009,0.045,0.099,0.001
"Brown Grass Shrimp","TS10","Seagrass","Wet",0.377,0.147,0.098,0.682,0.371,0.276,0.476,0.682,0.098
