"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Flatback Mud Crab","RB10","Epiphytes","Dry",0.506,0.342,0.012,0.956,0.609,0.134,0.833,0.956,0.012
"Flatback Mud Crab","RB10","Floc","Dry",0.305,0.31,0.001,0.854,0.136,0.017,0.616,0.854,0.001
"Flatback Mud Crab","RB10","Mangrove","Dry",0.085,0.143,0.001,0.477,0.037,0.012,0.096,0.222,0.001
"Flatback Mud Crab","RB10","Phytoplankton","Dry",0.103,0.071,0.014,0.269,0.088,0.052,0.138,0.267,0.014
"Gar","RB10","Epiphytes","Wet",0.508,0.259,0.029,0.927,0.53,0.31,0.72,0.927,0.029
"Gar","RB10","Floc","Wet",0.061,0.081,0.001,0.304,0.03,0.009,0.079,0.184,0.001
"Gar","RB10","Mangrove","Wet",0.162,0.22,0.001,0.812,0.06,0.014,0.22,0.529,0.001
"Gar","RB10","Phytoplankton","Wet",0.269,0.215,0.022,0.824,0.205,0.106,0.373,0.7735,0.022
"Golden Topminnow","RB10","Epiphytes","Dry",0.359,0.276,0.012,0.886,0.306,0.105,0.594,0.886,0.012
"Golden Topminnow","RB10","Floc","Dry",0.184,0.179,0.001,0.589,0.124,0.025,0.314,0.589,0.001
"Golden Topminnow","RB10","Mangrove","Dry",0.165,0.216,0.001,0.788,0.067,0.018,0.225,0.5355,0.001
"Golden Topminnow","RB10","Phytoplankton","Dry",0.291,0.219,0.029,0.856,0.23,0.12,0.416,0.856,0.029
"Harris Mud Crab","RB10","Epiphytes","Wet",0.421,0.226,0.033,0.878,0.407,0.251,0.583,0.878,0.033
"Harris Mud Crab","RB10","Floc","Wet",0.098,0.12,0.001,0.43,0.045,0.012,0.14,0.332,0.001
"Harris Mud Crab","RB10","Mangrove","Wet",0.138,0.175,0.001,0.626,0.065,0.016,0.195,0.4635,0.001
"Harris Mud Crab","RB10","Phytoplankton","Wet",0.343,0.173,0.042,0.692,0.34,0.212,0.461,0.692,0.042
"Hogchoker","RB10","Epiphytes","Dry",0.288,0.171,0.022,0.675,0.27,0.159,0.395,0.675,0.022
"Hogchoker","RB10","Floc","Dry",0.111,0.105,0.002,0.367,0.076,0.026,0.172,0.367,0.002
"Hogchoker","RB10","Mangrove","Dry",0.135,0.144,0.001,0.509,0.079,0.023,0.206,0.4805,0.001
"Hogchoker","RB10","Phytoplankton","Dry",0.466,0.152,0.154,0.764,0.471,0.367,0.566,0.764,0.154
"Hogchoker","RB10","Epiphytes","Wet",0.46,0.219,0.036,0.855,0.469,0.3,0.622,0.855,0.036
"Hogchoker","RB10","Floc","Wet",0.073,0.086,0.001,0.315,0.039,0.012,0.102,0.237,0.001
"Hogchoker","RB10","Mangrove","Wet",0.147,0.184,0.001,0.662,0.066,0.015,0.211,0.505,0.001
"Hogchoker","RB10","Phytoplankton","Wet",0.32,0.149,0.065,0.636,0.311,0.211,0.417,0.636,0.065
"Largemouth Bass","RB10","Epiphytes","Wet",0.49,0.244,0.037,0.916,0.501,0.307,0.679,0.916,0.037
"Largemouth Bass","RB10","Floc","Wet",0.052,0.065,0.001,0.235,0.028,0.009,0.069,0.159,0.001
"Largemouth Bass","RB10","Mangrove","Wet",0.155,0.208,0.001,0.772,0.06,0.014,0.215,0.5165,0.001
"Largemouth Bass","RB10","Phytoplankton","Wet",0.302,0.213,0.023,0.788,0.254,0.13,0.438,0.788,0.023
"Peacock Eel","RB10","Epiphytes","Dry",0.275,0.224,0.013,0.805,0.208,0.095,0.405,0.805,0.013
