"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Pilchard","TS7","Mangrove","Wet",0.052,0.066,0,0.243,0.024,0.006,0.074,0.176,0
"Pilchard","TS7","Seagrass","Wet",0.237,0.146,0.023,0.575,0.214,0.129,0.321,0.575,0.023
"Pilchard","TS7","SPOM","Wet",0.19,0.221,0.001,0.779,0.092,0.021,0.295,0.706,0.001
"Pink Shrimp","TS7","Epiphytes","Dry",0.42,0.205,0.074,0.851,0.407,0.266,0.561,0.851,0.074
"Pink Shrimp","TS7","Mangrove","Dry",0.023,0.027,0,0.094,0.014,0.005,0.032,0.0725,0
"Pink Shrimp","TS7","Seagrass","Dry",0.448,0.184,0.071,0.8,0.451,0.326,0.575,0.8,0.071
"Pink Shrimp","TS7","SPOM","Dry",0.109,0.136,0.001,0.484,0.059,0.019,0.147,0.339,0.001
"Pink Shrimp","TS7","Epiphytes","Wet",0.503,0.218,0.081,0.909,0.511,0.35,0.662,0.909,0.081
"Pink Shrimp","TS7","Mangrove","Wet",0.037,0.052,0,0.196,0.016,0.004,0.048,0.114,0
"Pink Shrimp","TS7","Seagrass","Wet",0.319,0.158,0.034,0.65,0.311,0.208,0.42,0.65,0.034
"Pink Shrimp","TS7","SPOM","Wet",0.141,0.187,0.001,0.681,0.062,0.014,0.195,0.4665,0.001
"Rainwater Killifish","TS7","Epiphytes","Dry",0.547,0.209,0.1,0.913,0.561,0.41,0.696,0.913,0.1
"Rainwater Killifish","TS7","Mangrove","Dry",0.024,0.029,0,0.105,0.013,0.005,0.032,0.0725,0
"Rainwater Killifish","TS7","Seagrass","Dry",0.311,0.169,0.032,0.696,0.297,0.189,0.414,0.696,0.032
"Rainwater Killifish","TS7","SPOM","Dry",0.117,0.164,0.001,0.621,0.052,0.017,0.142,0.3295,0.001
"Rainwater Killifish","TS7","Epiphytes","Wet",0.62,0.219,0.126,0.948,0.645,0.478,0.792,0.948,0.126
"Rainwater Killifish","TS7","Mangrove","Wet",0.032,0.043,0,0.161,0.015,0.004,0.042,0.099,0
"Rainwater Killifish","TS7","Seagrass","Wet",0.217,0.145,0.014,0.556,0.193,0.105,0.304,0.556,0.014
"Rainwater Killifish","TS7","SPOM","Wet",0.13,0.187,0.001,0.742,0.053,0.014,0.162,0.384,0.001
"Stone Crab","TS7","Epiphytes","Dry",0.302,0.181,0.036,0.708,0.276,0.163,0.411,0.708,0.036
"Stone Crab","TS7","Mangrove","Dry",0.023,0.026,0,0.097,0.014,0.005,0.031,0.07,0
"Stone Crab","TS7","Seagrass","Dry",0.581,0.181,0.165,0.894,0.592,0.467,0.709,0.894,0.165
"Stone Crab","TS7","SPOM","Dry",0.094,0.119,0.001,0.405,0.052,0.017,0.127,0.292,0.001
