"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Anemone","TS11","Epiphytes","Dry",0.645,0.141,0.361,0.897,0.649,0.548,0.75,0.897,0.361
"Anemone","TS11","Mangrove","Dry",0.02,0.018,0.001,0.068,0.015,0.007,0.027,0.057,0.001
"Anemone","TS11","Seagrass","Dry",0.051,0.05,0.001,0.184,0.036,0.015,0.071,0.155,0.001
"Anemone","TS11","SPOM","Dry",0.284,0.143,0.037,0.577,0.275,0.176,0.377,0.577,0.037
"Arrow Shrimp","TS11","Epiphytes","Wet",0.776,0.186,0.341,0.991,0.825,0.662,0.928,0.991,0.341
"Arrow Shrimp","TS11","Mangrove","Wet",0.01,0.017,0,0.058,0.004,0.001,0.012,0.0285,0
"Arrow Shrimp","TS11","Seagrass","Wet",0.031,0.048,0,0.176,0.012,0.003,0.037,0.088,0
"Arrow Shrimp","TS11","SPOM","Wet",0.183,0.179,0.003,0.618,0.121,0.039,0.28,0.618,0.003
"Atlantic Modulus","TS11","Epiphytes","Wet",0.882,0.107,0.603,0.993,0.913,0.834,0.96,0.993,0.645
"Atlantic Modulus","TS11","Mangrove","Wet",0.006,0.01,0,0.037,0.003,0.001,0.008,0.0185,0
"Atlantic Modulus","TS11","Seagrass","Wet",0.026,0.044,0,0.155,0.008,0.002,0.029,0.0695,0
"Atlantic Modulus","TS11","SPOM","Wet",0.086,0.093,0.002,0.317,0.055,0.021,0.122,0.2735,0.002
"Blue Striped Grunt","TS11","Epiphytes","Wet",0.781,0.184,0.337,0.991,0.833,0.676,0.929,0.991,0.337
"Blue Striped Grunt","TS11","Mangrove","Wet",0.013,0.022,0,0.082,0.004,0.001,0.014,0.0335,0
"Blue Striped Grunt","TS11","Seagrass","Wet",0.032,0.049,0,0.174,0.012,0.003,0.039,0.093,0
"Blue Striped Grunt","TS11","SPOM","Wet",0.174,0.174,0.003,0.622,0.112,0.04,0.263,0.5975,0.003
"Brown Grass Shrimp","TS11","Epiphytes","Wet",0.688,0.245,0.173,0.991,0.736,0.499,0.909,0.991,0.173
"Brown Grass Shrimp","TS11","Mangrove","Wet",0.01,0.016,0,0.058,0.004,0.001,0.012,0.0285,0
"Brown Grass Shrimp","TS11","Seagrass","Wet",0.04,0.061,0,0.229,0.014,0.003,0.051,0.123,0
"Brown Grass Shrimp","TS11","SPOM","Wet",0.262,0.236,0.003,0.774,0.194,0.049,0.439,0.774,0.003
"Bubble Snail","TS11","Epiphytes","Wet",0.815,0.16,0.422,0.993,0.861,0.719,0.944,0.993,0.422
"Bubble Snail","TS11","Mangrove","Wet",0.009,0.016,0,0.059,0.003,0.001,0.01,0.0235,0
"Bubble Snail","TS11","Seagrass","Wet",0.023,0.034,0,0.129,0.009,0.003,0.028,0.0655,0
"Bubble Snail","TS11","SPOM","Wet",0.153,0.154,0.003,0.551,0.1,0.032,0.235,0.5395,0.003
"Chestnut Turban Snail","TS11","Epiphytes","Wet",0.838,0.138,0.496,0.992,0.876,0.765,0.947,0.992,0.496
"Chestnut Turban Snail","TS11","Mangrove","Wet",0.008,0.012,0,0.043,0.003,0.001,0.009,0.021,0
"Chestnut Turban Snail","TS11","Seagrass","Wet",0.034,0.055,0,0.205,0.011,0.003,0.038,0.0905,0
"Chestnut Turban Snail","TS11","SPOM","Wet",0.12,0.122,0.002,0.445,0.079,0.027,0.172,0.3895,0.002
"Fringed Filefish","TS11","Epiphytes","Dry",0.407,0.242,0.06,0.919,0.36,0.208,0.579,0.919,0.06
"Fringed Filefish","TS11","Mangrove","Dry",0.023,0.028,0,0.103,0.013,0.004,0.031,0.0715,0
"Fringed Filefish","TS11","Seagrass","Dry",0.04,0.049,0.001,0.18,0.023,0.008,0.052,0.118,0.001
"Fringed Filefish","TS11","SPOM","Dry",0.531,0.263,0.022,0.916,0.576,0.335,0.75,0.916,0.022
"Fringed Filefish","TS11","Epiphytes","Wet",0.62,0.24,0.171,0.983,0.632,0.428,0.833,0.983,0.171
"Fringed Filefish","TS11","Mangrove","Wet",0.011,0.017,0,0.062,0.005,0.001,0.013,0.031,0
