"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Asian Swamp Eel","TS3","Floc","Wet",0.039,0.041,0.001,0.144,0.026,0.011,0.052,0.1135,0.001
"Asian Swamp Eel","TS3","Periphyton","Wet",0.929,0.047,0.806,0.987,0.94,0.91,0.962,0.987,0.832
"Asian Swamp Eel","TS3","Phytoplankton","Wet",0.025,0.02,0.002,0.078,0.02,0.011,0.034,0.0685,0.002
"Asian Swamp Eel","TS3","Sawgrass","Wet",0.007,0.01,0,0.035,0.004,0.001,0.009,0.021,0
"Bluefin Killifish","TS3","Floc","Dry",0.219,0.217,0.003,0.78,0.143,0.047,0.326,0.7445,0.003
"Bluefin Killifish","TS3","Periphyton","Dry",0.563,0.196,0.158,0.912,0.571,0.427,0.708,0.912,0.158
"Bluefin Killifish","TS3","Phytoplankton","Dry",0.192,0.141,0.007,0.507,0.173,0.069,0.29,0.507,0.007
"Bluefin Killifish","TS3","Sawgrass","Dry",0.027,0.037,0,0.13,0.013,0.004,0.034,0.079,0
"Bluefin Killifish","TS3","Floc","Wet",0.044,0.062,0,0.221,0.019,0.006,0.055,0.1285,0
"Bluefin Killifish","TS3","Periphyton","Wet",0.917,0.071,0.733,0.992,0.936,0.89,0.966,0.992,0.776
"Bluefin Killifish","TS3","Phytoplankton","Wet",0.033,0.032,0.001,0.115,0.023,0.009,0.046,0.1015,0.001
"Bluefin Killifish","TS3","Sawgrass","Wet",0.007,0.014,0,0.041,0.003,0.001,0.007,0.016,0
"Bluegill","TS3","Floc","Wet",0.077,0.119,0,0.447,0.028,0.007,0.095,0.227,0
"Bluegill","TS3","Periphyton","Wet",0.855,0.139,0.475,0.994,0.894,0.795,0.958,0.994,0.5505
"Bluegill","TS3","Phytoplankton","Wet",0.057,0.071,0.001,0.261,0.026,0.008,0.079,0.1855,0.001
"Bluegill","TS3","Sawgrass","Wet",0.012,0.023,0,0.075,0.004,0.001,0.012,0.0285,0
"Eastern Grass Shrimp","TS3","Floc","Dry",0.393,0.26,0.004,0.833,0.405,0.146,0.615,0.833,0.004
"Eastern Grass Shrimp","TS3","Periphyton","Dry",0.333,0.206,0.041,0.795,0.3,0.165,0.472,0.795,0.041
"Eastern Grass Shrimp","TS3","Phytoplankton","Dry",0.228,0.137,0.017,0.522,0.212,0.12,0.325,0.522,0.017
"Eastern Grass Shrimp","TS3","Sawgrass","Dry",0.046,0.063,0,0.24,0.021,0.006,0.058,0.136,0
"Eastern Grass Shrimp","TS3","Floc","Wet",0.143,0.151,0.001,0.533,0.089,0.022,0.223,0.5245,0.001
"Eastern Grass Shrimp","TS3","Periphyton","Wet",0.767,0.172,0.358,0.983,0.809,0.657,0.906,0.983,0.358
"Eastern Grass Shrimp","TS3","Phytoplankton","Wet",0.071,0.064,0.002,0.237,0.052,0.022,0.101,0.2195,0.002
"Eastern Grass Shrimp","TS3","Sawgrass","Wet",0.019,0.035,0,0.118,0.007,0.002,0.02,0.047,0
"Eastern Mosquitofish","TS3","Floc","Dry",0.207,0.209,0.002,0.742,0.135,0.043,0.312,0.7155,0.002
"Eastern Mosquitofish","TS3","Periphyton","Dry",0.631,0.192,0.198,0.941,0.653,0.504,0.776,0.941,0.198
"Eastern Mosquitofish","TS3","Phytoplankton","Dry",0.134,0.111,0.005,0.395,0.107,0.041,0.201,0.395,0.005
"Eastern Mosquitofish","TS3","Sawgrass","Dry",0.028,0.042,0,0.151,0.012,0.004,0.035,0.0815,0
"Eastern Mosquitofish","TS3","Floc","Wet",0.036,0.049,0,0.176,0.016,0.005,0.046,0.1075,0
"Eastern Mosquitofish","TS3","Periphyton","Wet",0.937,0.055,0.79,0.995,0.953,0.917,0.976,0.995,0.8285
"Eastern Mosquitofish","TS3","Phytoplankton","Wet",0.02,0.023,0.001,0.081,0.013,0.005,0.028,0.0625,0.001
"Eastern Mosquitofish","TS3","Sawgrass","Wet",0.007,0.013,0,0.042,0.002,0.001,0.007,0.016,0
"Gar","TS3","Floc","Wet",0.029,0.042,0,0.154,0.013,0.004,0.036,0.084,0
"Gar","TS3","Periphyton","Wet",0.948,0.052,0.804,0.997,0.965,0.931,0.983,0.997,0.853
"Gar","TS3","Phytoplankton","Wet",0.017,0.022,0,0.079,0.009,0.004,0.022,0.049,0
"Gar","TS3","Sawgrass","Wet",0.006,0.012,0,0.041,0.002,0.001,0.006,0.0135,0
"Golden Topminnow","TS3","Floc","Wet",0.038,0.057,0,0.208,0.016,0.005,0.045,0.105,0
"Golden Topminnow","TS3","Periphyton","Wet",0.934,0.068,0.738,0.996,0.955,0.912,0.979,0.996,0.8115
"Golden Topminnow","TS3","Phytoplankton","Wet",0.02,0.025,0.001,0.088,0.011,0.004,0.027,0.0615,0.001
"Golden Topminnow","TS3","Sawgrass","Wet",0.009,0.019,0,0.057,0.002,0.001,0.008,0.0185,0
"Largemouth Bass","TS3","Floc","Wet",0.035,0.052,0,0.19,0.015,0.004,0.041,0.0965,0
"Largemouth Bass","TS3","Periphyton","Wet",0.938,0.064,0.765,0.996,0.959,0.915,0.981,0.996,0.816
"Largemouth Bass","TS3","Phytoplankton","Wet",0.02,0.026,0.001,0.096,0.011,0.004,0.025,0.0565,0.001
"Largemouth Bass","TS3","Sawgrass","Wet",0.007,0.017,0,0.047,0.002,0.001,0.007,0.016,0
"Mayan Cichlid","TS3","Floc","Wet",0.101,0.143,0,0.529,0.036,0.009,0.132,0.3165,0
"Mayan Cichlid","TS3","Periphyton","Wet",0.822,0.16,0.406,0.993,0.87,0.742,0.948,0.993,0.433
"Mayan Cichlid","TS3","Phytoplankton","Wet",0.062,0.07,0.001,0.257,0.035,0.011,0.09,0.2085,0.001
"Mayan Cichlid","TS3","Sawgrass","Wet",0.015,0.029,0,0.101,0.004,0.001,0.014,0.0335,0
"Peacock Eel","TS3","Floc","Wet",0.066,0.101,0,0.36,0.025,0.006,0.08,0.191,0
"Peacock Eel","TS3","Periphyton","Wet",0.888,0.115,0.575,0.995,0.926,0.848,0.969,0.995,0.6665
"Peacock Eel","TS3","Phytoplankton","Wet",0.034,0.042,0.001,0.155,0.018,0.006,0.047,0.1085,0.001
"Peacock Eel","TS3","Sawgrass","Wet",0.012,0.028,0,0.075,0.003,0.001,0.01,0.0235,0
"Redear Sunfish","TS3","Floc","Wet",0.082,0.125,0,0.472,0.031,0.008,0.097,0.2305,0
"Redear Sunfish","TS3","Periphyton","Wet",0.839,0.147,0.469,0.994,0.883,0.769,0.954,0.994,0.4915
"Redear Sunfish","TS3","Phytoplankton","Wet",0.067,0.082,0.001,0.304,0.033,0.01,0.094,0.22,0.001
"Redear Sunfish","TS3","Sawgrass","Wet",0.012,0.023,0,0.072,0.004,0.001,0.013,0.031,0
