"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Atlantic Marginella","TS9","Epiphytes","Wet",0.368,0.209,0.046,0.852,0.342,0.204,0.499,0.852,0.046
"Atlantic Marginella","TS9","Mangrove","Wet",0.068,0.064,0.002,0.242,0.048,0.02,0.098,0.215,0.002
"Atlantic Marginella","TS9","Seagrass","Wet",0.118,0.102,0.004,0.373,0.089,0.037,0.174,0.373,0.004
"Atlantic Marginella","TS9","SPOM","Wet",0.446,0.218,0.03,0.845,0.453,0.288,0.609,0.845,0.03
"Bubble Snail","TS9","Epiphytes","Wet",0.458,0.265,0.023,0.93,0.46,0.229,0.669,0.93,0.023
"Bubble Snail","TS9","Mangrove","Wet",0.065,0.074,0.001,0.265,0.037,0.012,0.092,0.212,0.001
"Bubble Snail","TS9","Seagrass","Wet",0.058,0.06,0.001,0.218,0.038,0.015,0.079,0.175,0.001
"Bubble Snail","TS9","SPOM","Wet",0.42,0.27,0.012,0.913,0.411,0.18,0.638,0.913,0.012
"Eastern Grass Shrimp","TS9","Epiphytes","Dry",0.469,0.239,0.041,0.906,0.473,0.284,0.656,0.906,0.041
"Eastern Grass Shrimp","TS9","Mangrove","Dry",0.09,0.082,0.002,0.292,0.066,0.024,0.134,0.292,0.002
"Eastern Grass Shrimp","TS9","Seagrass","Dry",0.104,0.095,0.003,0.342,0.077,0.033,0.145,0.313,0.003
"Eastern Grass Shrimp","TS9","SPOM","Dry",0.338,0.237,0.012,0.83,0.307,0.131,0.513,0.83,0.012
"Hermit Crab","TS9","Epiphytes","Wet",0.387,0.303,0.014,0.939,0.301,0.113,0.667,0.939,0.014
"Hermit Crab","TS9","Mangrove","Wet",0.042,0.052,0.001,0.199,0.023,0.008,0.055,0.1255,0.001
"Hermit Crab","TS9","Seagrass","Wet",0.103,0.135,0.001,0.514,0.051,0.016,0.128,0.296,0.001
"Hermit Crab","TS9","SPOM","Wet",0.468,0.315,0.012,0.943,0.493,0.145,0.757,0.943,0.012
"Rainwater Killifish","TS9","Epiphytes","Dry",0.456,0.239,0.047,0.898,0.452,0.259,0.644,0.898,0.047
"Rainwater Killifish","TS9","Mangrove","Dry",0.117,0.097,0.002,0.341,0.093,0.034,0.185,0.341,0.002
"Rainwater Killifish","TS9","Seagrass","Dry",0.192,0.157,0.004,0.545,0.155,0.059,0.294,0.545,0.004
"Rainwater Killifish","TS9","SPOM","Dry",0.235,0.177,0.015,0.683,0.196,0.095,0.331,0.683,0.015
"Rainwater Killifish","TS9","Epiphytes","Wet",0.421,0.252,0.034,0.931,0.385,0.216,0.607,0.931,0.034
"Rainwater Killifish","TS9","Mangrove","Wet",0.088,0.094,0.001,0.333,0.051,0.015,0.131,0.305,0.001
"Rainwater Killifish","TS9","Seagrass","Wet",0.147,0.14,0.002,0.484,0.1,0.03,0.232,0.484,0.002
"Rainwater Killifish","TS9","SPOM","Wet",0.345,0.226,0.012,0.817,0.32,0.155,0.508,0.817,0.012
"Redfin Needlefish","TS9","Epiphytes","Dry",0.374,0.225,0.043,0.855,0.339,0.194,0.521,0.855,0.043
"Redfin Needlefish","TS9","Mangrove","Dry",0.114,0.098,0.003,0.346,0.09,0.031,0.175,0.346,0.003
"Redfin Needlefish","TS9","Seagrass","Dry",0.193,0.149,0.004,0.526,0.168,0.066,0.29,0.526,0.004
"Redfin Needlefish","TS9","SPOM","Dry",0.319,0.211,0.019,0.773,0.295,0.141,0.464,0.773,0.019
"Snapping Shrimp","TS9","Epiphytes","Wet",0.176,0.218,0.009,0.901,0.096,0.047,0.197,0.422,0.009
"Snapping Shrimp","TS9","Mangrove","Wet",0.076,0.11,0.001,0.399,0.032,0.009,0.096,0.2265,0.001
"Snapping Shrimp","TS9","Seagrass","Wet",0.077,0.089,0.001,0.329,0.046,0.016,0.106,0.241,0.001
"Snapping Shrimp","TS9","SPOM","Wet",0.67,0.257,0.015,0.966,0.742,0.566,0.861,0.966,0.1235
"Toadfish","TS9","Epiphytes","Dry",0.344,0.225,0.031,0.871,0.3,0.166,0.481,0.871,0.031
"Toadfish","TS9","Mangrove","Dry",0.115,0.098,0.003,0.342,0.089,0.032,0.175,0.342,0.003
"Toadfish","TS9","Seagrass","Dry",0.22,0.167,0.004,0.579,0.195,0.075,0.336,0.579,0.004
"Toadfish","TS9","SPOM","Dry",0.321,0.215,0.017,0.803,0.294,0.141,0.469,0.803,0.017
