"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Eastern Mosquitofish","RB10","Wet Mangrove","Wet",0.079,0.128,0,0.484,0.022,0.005,0.086,0.2075,0
"Flatback Mud Crab","RB10","Dry Mangrove","Dry",0.051,0.053,0.001,0.197,0.032,0.012,0.072,0.162,0.001
"Flatback Mud Crab","RB10","Epiphytes","Dry",0.831,0.096,0.608,0.969,0.846,0.773,0.905,0.969,0.608
"Flatback Mud Crab","RB10","Phytoplankton","Dry",0.088,0.069,0.008,0.269,0.07,0.037,0.12,0.2445,0.008
"Flatback Mud Crab","RB10","Wet Mangrove","Dry",0.03,0.045,0,0.165,0.013,0.004,0.034,0.079,0
"Gar","RB10","Dry Mangrove","Wet",0.167,0.193,0.001,0.68,0.084,0.022,0.254,0.602,0.001
"Gar","RB10","Epiphytes","Wet",0.561,0.229,0.104,0.928,0.582,0.394,0.747,0.928,0.104
"Gar","RB10","Phytoplankton","Wet",0.22,0.181,0.018,0.716,0.167,0.086,0.301,0.6235,0.018
"Gar","RB10","Wet Mangrove","Wet",0.052,0.082,0,0.3,0.018,0.005,0.061,0.145,0
"Golden Topminnow","RB10","Dry Mangrove","Dry",0.148,0.18,0.002,0.66,0.074,0.021,0.207,0.486,0.002
"Golden Topminnow","RB10","Epiphytes","Dry",0.596,0.228,0.074,0.931,0.635,0.45,0.774,0.931,0.074
"Golden Topminnow","RB10","Phytoplankton","Dry",0.207,0.185,0.017,0.794,0.156,0.08,0.265,0.5425,0.017
"Golden Topminnow","RB10","Wet Mangrove","Dry",0.048,0.07,0,0.267,0.02,0.006,0.058,0.136,0
"Harris Mud Crab","RB10","Dry Mangrove","Wet",0.113,0.13,0.001,0.48,0.063,0.02,0.16,0.37,0.001
"Harris Mud Crab","RB10","Epiphytes","Wet",0.516,0.194,0.175,0.904,0.497,0.373,0.653,0.904,0.175
"Harris Mud Crab","RB10","Phytoplankton","Wet",0.32,0.181,0.03,0.676,0.312,0.172,0.452,0.676,0.03
"Harris Mud Crab","RB10","Wet Mangrove","Wet",0.051,0.079,0,0.291,0.019,0.005,0.06,0.1425,0
"Hogchoker","RB10","Dry Mangrove","Dry",0.12,0.127,0.002,0.461,0.077,0.027,0.173,0.392,0.002
"Hogchoker","RB10","Epiphytes","Dry",0.412,0.157,0.149,0.775,0.395,0.301,0.501,0.775,0.149
"Hogchoker","RB10","Phytoplankton","Dry",0.416,0.166,0.08,0.719,0.422,0.308,0.534,0.719,0.08
"Hogchoker","RB10","Wet Mangrove","Dry",0.052,0.068,0.001,0.258,0.024,0.008,0.068,0.158,0.001
"Hogchoker","RB10","Dry Mangrove","Wet",0.109,0.125,0.001,0.46,0.061,0.021,0.15,0.3435,0.001
"Hogchoker","RB10","Epiphytes","Wet",0.512,0.166,0.197,0.841,0.505,0.4,0.627,0.841,0.197
"Hogchoker","RB10","Phytoplankton","Wet",0.332,0.154,0.058,0.643,0.329,0.22,0.437,0.643,0.058
"Hogchoker","RB10","Wet Mangrove","Wet",0.047,0.069,0,0.247,0.019,0.005,0.057,0.135,0
"Isopod","RB10","Dry Mangrove","Dry",0.046,0.051,0.001,0.188,0.028,0.011,0.063,0.141,0.001
"Isopod","RB10","Epiphytes","Dry",0.853,0.085,0.656,0.972,0.867,0.804,0.915,0.972,0.656
