Source         ,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S
Periphyton,1.95,0.3,5.1,1,0.75,0.54
Floc,1.95,0.3,5.1,1,0.75,0.54
Sawgrass,1.95,0.3,5.1,1,0.75,0.54
Phytoplankton,1.95,0.3,5.1,1,0.75,0.54
