Source         ,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S
SPOM,1.3,0.3,3.4,1,0.5,0.54
Mangrove,1.3,0.3,3.4,1,0.5,0.54
Epiphytes,1.3,0.3,3.4,1,0.5,0.54
Seagrass,1.3,0.3,3.4,1,0.5,0.54
