SITENAME,DATE,YEAR,MONTH,TN_uM_L,TN_moles_L,TN_g_L,TN_ug_L,TP_uM_L,TP_moles_L,TP_g_L,TP_ug_L,NP
TSph11,1/25/18,2018,January,22.76,0.00,0.00,318.74,0.43,0.00,0.00,13.32,23.93
TSph9,1/25/18,2018,January,45.97,0.00,0.00,643.93,0.50,0.00,0.00,15.55,41.41
TSph3,1/26/18,2018,January,85.60,0.00,0.00,1199.04,0.26,0.00,0.00,8.05,148.89
TSph7,1/26/18,2018,January,56.94,0.00,0.00,797.49,0.41,0.00,0.00,12.70,62.80
TSph7,1/29/18,2018,January,55.59,0.00,0.00,778.64,0.48,0.00,0.00,14.87,52.37
TSph3,2/1/18,2018,February,86.49,0.00,0.00,1211.48,0.27,0.00,0.00,8.36,144.86
TSph7,2/1/18,2018,February,61.61,0.00,0.00,862.96,0.49,0.00,0.00,15.18,56.86
TSph7,2/4/18,2018,February,61.12,0.00,0.00,856.07,0.38,0.00,0.00,11.77,72.73
TSph3,2/7/18,2018,February,107.87,0.00,0.00,1510.89,0.70,0.00,0.00,21.68,69.68
TSph7,2/7/18,2018,February,55.31,0.00,0.00,774.73,0.26,0.00,0.00,8.05,96.20
TSph7,2/10/18,2018,February,60.81,0.00,0.00,851.78,0.35,0.00,0.00,10.84,78.57
TSph3,2/12/18,2018,February,110.23,0.00,0.00,1543.96,0.34,0.00,0.00,10.53,146.61
TSph7,2/13/18,2018,February,59.87,0.00,0.00,838.64,0.26,0.00,0.00,8.05,104.14
TSph7,2/16/18,2018,February,63.23,0.00,0.00,885.63,0.40,0.00,0.00,12.39,71.48
TSph3,2/19/18,2018,February,103.97,0.00,0.00,1456.24,0.28,0.00,0.00,8.67,167.91
TSph7,2/19/18,2018,February,60.26,0.00,0.00,844.08,0.33,0.00,0.00,10.22,82.58
TSph7,2/22/18,2018,February,73.48,0.00,0.00,1029.21,0.56,0.00,0.00,17.35,59.34
TSph3,2/25/18,2018,February,115.67,0.00,0.00,1620.18,0.41,0.00,0.00,12.70,127.58
TSph7,2/25/18,2018,February,64.15,0.00,0.00,898.61,0.43,0.00,0.00,13.32,67.47
