SITENAME	DATE	SALINTY	TN	TP
TSph9	1/7/97		33.229	0.143
TSph10	1/8/97		61.954	0.213
TSph11	1/8/97		51.8	0.285
Gunboat Isla-9999	1/28/97		83.391	0.305
Oyster Bay	1/28/97		40.756	0.248
Ponce de Leon Bay	1/28/97		33.926	0.353
Tarpon Bay	1/28/97		76.377	0.27
Joe Bay	2/14/97		49.281	0.345
Little Madeira Bay	2/14/97		44.861	0.195
TSph9	2/14/97		35.98	0.158
TSph10	2/15/97		55.117	0.233
TSph11	2/15/97		17.926	0.095
Gunboat Isla-9999	2/25/97		58.151	0.343
Oyster Bay	2/25/97		32.723	0.405
Ponce de Leon Bay	2/25/97		33.302	0.475
Tarpon Bay	2/25/97		83.754	0.525
Little Madeira Bay	3/12/97		46.873	0.213
TSph10	3/12/97		31.904	0.16
TSph11	3/12/97		17.014	0.258
Joe Bay	3/13/97		43.054	0.363
TSph9	3/13/97		33.613	0.175
Gunboat Isla-9999	3/25/97		50.139	0.5
Oyster Bay	3/25/97		30.82	0.493
Ponce de Leon Bay	3/25/97		31.539	0.515
Tarpon Bay	3/25/97		63.411	0.598
Joe Bay	4/15/97		35.027	0.263
Little Madeira Bay	4/15/97		42.356	0.198
TSph9	4/15/97		32.493	0.135
TSph10	4/16/97		34.953	0.19
TSph11	4/16/97		19.158	0.24
Gunboat Isla-9999	4/23/97		43.89	0.49
Oyster Bay	4/23/97		31.725	0.505
Ponce de Leon Bay	4/23/97		32.475	0.523
Tarpon Bay	4/23/97		64.009	0.583
Gunboat Isla-9999	5/20/97		52.948	0.668
Oyster Bay	5/20/97		39.63	0.545
Ponce de Leon Bay	5/20/97		43.035	0.548
Tarpon Bay	5/20/97		71.583	0.638
TSph10	5/22/97		61.089	0.118
TSph11	5/22/97		23.647	0.248
Joe Bay	5/23/97		53.961	0.183
Little Madeira Bay	5/23/97		50.39	0.123
TSph9	5/23/97		43.459	0.105
Joe Bay	6/11/97		55.132	0.25
Little Madeira Bay	6/11/97		41.388	0.28
TSph10	6/11/97		73.113	0.295
TSph9	6/11/97		45.12	0.185
TSph11	6/12/97		17.061	0.3
Gunboat Isla-9999	6/24/97		48.518	0.848
Oyster Bay	6/24/97		48.871	1.615
Ponce de Leon Bay	6/24/97		44.091	1.403
Tarpon Bay	6/24/97		50.239	0.718
Joe Bay	7/9/97		77.325	0.34
Little Madeira Bay	7/9/97		62.772	0.278
TSph9	7/9/97		58.166	0.188
TSph10	7/10/97		70.247	0.283
TSph11	7/10/97		17.473	0.42
Gunboat Isla-9999	7/23/97		46.454	0.43
Oyster Bay	7/23/97		36.609	0.69
Ponce de Leon Bay	7/23/97		33.085	0.678
Tarpon Bay	7/23/97		43.992	0.395
TSph10	8/19/97		68.912	0.215
TSph11	8/19/97		18.26	0.245
Joe Bay	8/20/97		67.731	0.3
Little Madeira Bay	8/20/97		56.537	0.235
TSph9	8/20/97		56.482	0.24
Gunboat Isla-9999	8/21/97		51.806	0.408
Oyster Bay	8/21/97		32.532	0.845
Ponce de Leon Bay	8/21/97		28.773	0.91
Tarpon Bay	8/21/97		52.88	0.433
Joe Bay	9/9/97		55.558	0.39
Little Madeira Bay	9/9/97		60.42	0.27
TSph9	9/9/97		54.845	0.17
TSph10	9/10/97		71.439	0.245
TSph11	9/10/97		28.594	0.323
Gunboat Isla-9999	9/16/97		53.6	0.628
Oyster Bay	9/16/97		49.962	0.608
Ponce de Leon Bay	9/16/97		42.947	0.535
Tarpon Bay	9/16/97		77.325	0.433
Oyster Bay	10/8/97		61.695	1.098
Ponce de Leon Bay	10/8/97		44.788	0.69
Gunboat Isla-9999	10/9/97		62.03	0.44
Tarpon Bay	10/9/97		66.511	0.4
Little Madeira Bay	10/21/97		59.231	0.263
TSph10	10/21/97		47.443	0.183
TSph11	10/21/97		27.837	0.47
Joe Bay	10/22/97		56.342	0.215
TSph9	10/22/97		49.84	0.195
Oyster Bay	11/5/97		42.471	0.535
Ponce de Leon Bay	11/5/97		40.149	0.42
Gunboat Isla-9999	11/6/97		72.816	0.355
Tarpon Bay	11/6/97		76.343	0.423
Joe Bay	11/24/97		59.437	0.385
Little Madeira Bay	11/24/97		58.717	0.293
TSph9	11/24/97		48.007	0.175
TSph10	11/25/97		70.571	0.315
TSph11	11/25/97		21.212	0.375
Gunboat Isla-9999	12/9/97		56.062	0.415
Ponce de Leon Bay	12/9/97		34.567	0.43
Tarpon Bay	12/9/97		57.323	0.4
Oyster Bay	12/10/97		32.147	0.48
Joe Bay	12/11/97		41.749	0.37
Little Madeira Bay	12/11/97		40.467	0.278
TSph9	12/11/97		38.033	0.268
TSph10	12/12/97		49.018	0.265
TSph11	12/12/97		12.993	0.278
Joe Bay	1/20/98		51.434	0.475
Little Madeira Bay	1/20/98		42.712	0.357
TSph9	1/20/98		40.312	0.217
TSph10	1/21/98		53.822	0.232
TSph11	1/21/98		14.486	0.267
Gunboat Isla-9999	1/29/98		44.08	0.457
Oyster Bay	1/29/98		25.112	0.285
Ponce de Leon Bay	1/29/98		28.727	0.774
Tarpon Bay	1/29/98		57.93	0.387
Joe Bay	2/17/98		41.034	0.477
Little Madeira Bay	2/17/98		43.026	0.392
TSph9	2/17/98		43.66	0.312
TSph10	2/18/98		54.177	0.257
TSph11	2/18/98		12.463	0.25
Gunboat Isla-9999	2/25/98		52.816	0.465
Oyster Bay	2/25/98		31.517	0.497
Ponce de Leon Bay	2/25/98		28.443	0.672
Tarpon Bay	2/25/98		55.54	0.467
Joe Bay	3/19/98		51.065	0.336
TSph9	3/19/98		42.122	0.223
Little Madeira Bay	3/20/98		44.095	0.152
TSph10	3/20/98		44.788	0.217
TSph11	3/20/98		15.712	0.239
Gunboat Isla-9999	3/24/98		63.088	0.255
Oyster Bay	3/24/98		41.349	0.667
Ponce de Leon Bay	3/24/98		39.142	1.049
Tarpon Bay	3/24/98		63.929	0.357
Gunboat Isla-9999	4/13/98		53.88	0.43
Oyster Bay	4/13/98		36.545	0.498
Ponce de Leon Bay	4/13/98		32.973	0.79
Tarpon Bay	4/13/98		70.789	0.315
Joe Bay	4/14/98		55.768	0.375
Little Madeira Bay	4/14/98		43.718	0.158
TSph9	4/14/98		35.053	0.143
TSph10	4/15/98		52.8	0.18
TSph11	4/15/98		16.818	0.265
Joe Bay	5/13/98		57.631	0.25
Little Madeira Bay	5/13/98		50.359	0.153
TSph9	5/13/98		42.4	0.173
TSph10	5/14/98		66.408	0.303
TSph11	5/14/98		18.431	0.273
Gunboat Isla-9999	5/22/98		38.097	0.188
Oyster Bay	5/22/98		34.893	0.195
Ponce de Leon Bay	5/22/98		33.5	0.213
Tarpon Bay	5/22/98		62.551	0.243
Joe Bay	6/9/98		56.681	0.195
Little Madeira Bay	6/9/98		53.626	0.138
TSph9	6/9/98		45.891	0.073
TSph10	6/10/98		59.075	0.228
TSph11	6/10/98		13.394	0.193
Gunboat Isla-9999	6/16/98		53.748	0.698
Oyster Bay	6/16/98		33.449	0.713
Ponce de Leon Bay	6/16/98		36.34	0.56
Tarpon Bay	6/16/98		70.483	0.4
Gunboat Isla-9999	7/7/98		45.759	0.683
Oyster Bay	7/7/98		49.811	1.01
Ponce de Leon Bay	7/7/98		33.121	0.89
Tarpon Bay	7/7/98		68.599	0.658
TSph10	7/14/98		59.14	0.193
TSph11	7/14/98		17.429	0.28
Joe Bay	7/15/98		52.539	0.16
Little Madeira Bay	7/15/98		56.576	0.128
TSph9	7/15/98		47.704	0.093
Gunboat Isla-9999	8/5/98		43.573	0.538
Oyster Bay	8/5/98		38.382	0.63
Ponce de Leon Bay	8/5/98		28.675	0.513
Tarpon Bay	8/5/98		58.817	0.488
Joe Bay	8/18/98		78.36	0.158
Little Madeira Bay	8/18/98		61.021	0.205
TSph9	8/18/98		55.866	0.033
TSph10	8/19/98		68.105	0.245
TSph11	8/19/98		15.765	0.275
TSph10	9/17/98		43.187	0.255
TSph11	9/17/98		18.768	0.27
Joe Bay	9/18/98		45.43	0.165
Little Madeira Bay	9/18/98		53.767	0.195
TSph9	9/18/98		51.287	0.175
Joe Bay	9/29/98		41.333	0.304
Little Madeira Bay	9/29/98		52.565	0.275
TSph9	9/29/98		55.246	0.218
TSph10	9/30/98		43.101	0.279
TSph11	9/30/98		9.145	0.246
Gunboat Isla-9999	10/2/98		41.474	0.864
Oyster Bay	10/2/98		37.939	1.16
Ponce de Leon Bay	10/2/98		33.35	0.956
Tarpon Bay	10/2/98		41.371	0.312
Little Madeira Bay	11/3/98		55.882	0.168
TSph10	11/3/98		34.706	0.202
TSph11	11/3/98		25.041	0.29
Joe Bay	11/4/98		59.208	0.2
TSph9	11/4/98		53.427	0.162
Gunboat Isla-9999	11/12/98		44.645	0.365
Oyster Bay	11/12/98		38.664	0.805
Ponce de Leon Bay	11/12/98		30.497	1.109
Tarpon Bay	11/12/98		44.328	0.29
Little Madeira Bay	12/1/98		50.059	0.418
TSph10	12/1/98		46.561	0.361
TSph11	12/1/98		21.756	0.553
Joe Bay	12/2/98		59.619	0.388
TSph9	12/2/98		42.548	0.36
Gunboat Isla-9999	12/3/98		48.345	0.82
Oyster Bay	12/3/98		43.018	0.877
Ponce de Leon Bay	12/3/98		36.296	0.733
Tarpon Bay	12/3/98		56.494	0.615
Gunboat Isla-9999	1/12/99		73.693	0.4
Oyster Bay	1/12/99		39.164	0.47
Ponce De Leon Bay	1/12/99		35.209	0.558
Tarpon Bay	1/12/99		77.911	0.268
Joe Bay	1/14/99		41.204	0.33
Little Madeira Bay	1/14/99		34.269	0.203
TSph10	1/14/99		49.084	0.259
TSph11	1/14/99		25.964	0.632
TSph9	1/14/99		35.772	0.158
Joe Bay	2/10/99		50.056	0.22
TSph10	2/10/99		63.109	0.13
TSph11	2/10/99		27.919	0.163
TSph9	2/10/99		42.069	0.1
Little Madeira Bay	2/11/99		46.592	0.123
Gunboat Isla-9999	2/22/99		59.056	0.3
Ponce De Leon Bay	2/22/99		22.467	0.342
Tarpon Bay	2/22/99		60.282	0.285
Oyster Bay	2/23/99		23.638	0.321
Gunboat Isla-9999	3/8/99		57.518	0.242
Oyster Bay	3/8/99		28.752	0.363
Ponce De Leon Bay	3/8/99		31.113	0.314
Tarpon Bay	3/8/99		65.389	0.331
Little Madeira Bay	3/23/99		46.44	0.108
TSph10	3/23/99		45.157	0.262
TSph11	3/23/99		12.554	0.193
Joe Bay	3/24/99		47.046	0.225
TSph9	3/24/99		37.354	0.089
Gunboat Isla-9999	4/27/99		34.245	0.718
Oyster Bay	4/27/99		36.243	0.658
Ponce De Leon Bay	4/27/99		25.622	0.605
Tarpon Bay	4/27/99		50.733	0.703
Little Madeira Bay	4/29/99		52.853	0.328
TSph10	4/29/99		50.362	0.503
TSph11	4/29/99		13.001	0.453
Joe Bay	4/30/99		52.105	0.358
TSph9	4/30/99		45.25	0.335
Gunboat Isla-9999	5/11/99		28.94	0.498
Oyster Bay	5/11/99		22.593	0.589
Ponce De Leon Bay	5/11/99		23.678	0.411
Tarpon Bay	5/11/99		43.086	0.411
Joe Bay	5/28/99		52.791	0.208
Little Madeira Bay	5/28/99		55.898	0.163
TSph10	5/28/99		59.091	0.16
TSph11	5/28/99		14.135	0.333
TSph9	5/28/99		59.592	0.3
Little Madeira Bay	6/17/99		73.123	0.166
TSph10	6/17/99		47.813	0.245
TSph11	6/17/99		16.918	0.145
Joe Bay	6/18/99		58.799	0.163
TSph9	6/18/99		47.599	0.3
Gunboat Isla-9999	6/25/99		55.851	0.505
Oyster Bay	6/25/99		40.23	0.599
Ponce De Leon Bay	6/25/99		35.11	0.523
Tarpon Bay	6/25/99		56.724	0.45
Joe Bay	7/6/99		69.487	0.434
Little Madeira Bay	7/6/99		55.242	0.345
TSph10	7/6/99		63.43	0.223
TSph11	7/6/99		15.955	0.381
TSph9	7/6/99		53.816	0.264
Gunboat Isla-9999	7/27/99		43.411	0.563
Oyster Bay	7/27/99		51.869	0.583
Ponce De Leon Bay	7/27/99		34.9	0.565
Tarpon Bay	7/27/99		53.92	0.623
Gunboat Isla-9999	8/16/99		63.428	0.41
Oyster Bay	8/16/99		36.812	0.555
Ponce De Leon Bay	8/16/99		39.146	0.535
Tarpon Bay	8/16/99		62.55	0.45
Little Madeira Bay	8/24/99		56.033	0.278
TSph10	8/24/99		61.571	0.118
TSph11	8/24/99		20.589	0.21
Joe Bay	8/25/99		57.222	0.31
TSph9	8/25/99		53.353	0.328
Little Madeira Bay	9/23/99		76.904	0.308
TSph10	9/23/99		98.11	0.408
TSph11	9/23/99		20.826	0.333
Gunboat Isla-9999	9/24/99		43.924	0.805
Joe Bay	9/24/99		58.796	0.263
Oyster Bay	9/24/99		54.024	0.815
Ponce De Leon Bay	9/24/99		49.065	0.643
Tarpon Bay	9/24/99		41.665	0.55
TSph9	9/24/99		68.06	0.2
Gunboat Isla-9999	10/22/99		26.546	0.526
Tarpon Bay	10/22/99		25.931	0.702
Oyster Bay	10/23/99		47.33	1.11
Ponce De Leon Bay	10/23/99		41.034	1.081
Joe Bay	10/25/99		20.105	0.242
Little Madeira Bay	10/25/99		47.663	0.263
TSph9	10/25/99		35.833	0.2
TSph10	10/26/99		38.494	0.127
TSph11	10/26/99		61.891	1.411
TSph10	11/12/99		29.713	0.155
TSph11	11/12/99		35.896	2.661
Joe Bay	11/13/99		21.367	0.44
Little Madeira Bay	11/13/99		27.695	0.243
TSph9	11/13/99		24.298	0.222
Gunboat Isla-9999	11/19/99		25.94	0.293
Oyster Bay	11/19/99		40.679	0.952
Ponce De Leon Bay	11/19/99		45.317	0.697
Tarpon Bay	11/19/99		21.964	0.273
Joe Bay	12/2/99		49.396	0.185
Little Madeira Bay	12/2/99		50.941	0.188
TSph9	12/2/99		43.952	0.105
TSph10	12/3/99		40.022	0.093
TSph11	12/3/99		40.198	1.103
Gunboat Isla-9999	12/10/99		61.796	0.429
Oyster Bay	12/10/99		41.155	0.504
Ponce De Leon Bay	12/10/99		39.318	0.531
Tarpon Bay	12/10/99		56.839	0.322
Gunboat Isla-9999	1/11/00		39.706	0.362
Oyster Bay	1/11/00		21.651	0.949
Ponce De Leon Bay	1/11/00		20.679	0.7
Tarpon Bay	1/11/00		47.718	0.348
Joe Bay	1/24/00		41.318	0.269
Little Madeira Bay	1/24/00		38.928	0.237
TSph9	1/24/00		32.21	0.212
TSph10	1/25/00		55.778	0.318
TSph11	1/25/00		18.625	0.706
Oyster Bay	2/3/00		34.946	1.138
Gunboat Isla-9999	2/4/00		52.496	0.736
Ponce De Leon Bay	2/4/00		29.938	0.927
Tarpon Bay	2/4/00		55.892	0.534
TSph10	2/28/00		31.495	0.066
TSph11	2/28/00		20.229	0.114
Joe Bay	2/29/00		35.771	0.533
Little Madeira Bay	2/29/00		34.301	0.217
TSph9	2/29/00		29.008	0.293
Gunboat Isla-9999	3/1/00		33.625	0.482
Oyster Bay	3/1/00		26.967	0.921
Ponce De Leon Bay	3/1/00		19.889	0.578
Tarpon Bay	3/1/00		44.34	0.319
Little Madeira Bay	3/21/00		24.847	0.105
TSph10	3/21/00		31.359	0.119
TSph11	3/21/00		6.233	0.127
Joe Bay	3/22/00		35.007	0.199
TSph9	3/22/00		25.826	0.052
Gunboat Isla-9999	4/11/00		32.934	0.653
Oyster Bay	4/11/00		23.654	1.219
Ponce De Leon Bay	4/11/00		19.245	0.881
Tarpon Bay	4/11/00		46.011	0.766
TSph10	4/13/00		18.636	0.361
TSph11	4/13/00		30.547	0.438
Joe Bay	4/17/00		39.624	0.426
Little Madeira Bay	4/17/00		40.087	0.378
TSph9	4/17/00		30.7	0.317
Gunboat Isla-9999	5/16/00		23.951	0.865
Oyster Bay	5/16/00		21.341	1.111
Ponce De Leon Bay	5/16/00		19.661	0.962
Tarpon Bay	5/16/00		37.823	0.832
TSph10	5/30/00		46.59	0.338
TSph11	5/30/00		11.426	0.667
Joe Bay	5/31/00		42.828	0.41
Little Madeira Bay	5/31/00		42.905	0.296
TSph9	5/31/00		37.392	0.325
Oyster Bay	6/15/00		39.775	1.666
Gunboat Isla-9999	6/16/00		32.514	0.932
Ponce De Leon Bay	6/16/00		28.788	1.188
Tarpon Bay	6/16/00		35.292	0.691
Little Madeira Bay	6/20/00		28.325	0.256
TSph10	6/20/00		28.783	0.352
TSph11	6/20/00		11.834	0.461
Joe Bay	6/21/00		33.473	0.317
TSph9	6/21/00		25.843	0.253
Oyster Bay	7/13/00		20.247	0.328
Ponce De Leon Bay	7/13/00		16.819	0.744
Gunboat Isla-9999	7/14/00		24.894	0.784
Tarpon Bay	7/14/00		39.879	0.672
Little Madeira Bay	7/20/00		23.983	0.298
TSph10	7/20/00		25.946	0.318
TSph11	7/20/00		4.814	0.451
Joe Bay	7/21/00		35.06	0.356
TSph9	7/21/00		30.982	0.296
Gunboat Isla-9999	8/3/00		39.026	0.4
Oyster Bay	8/3/00		36.375	0.77
Ponce De Leon Bay	8/3/00		35.527	0.85
Tarpon Bay	8/3/00		38.361	0.365
Little Madeira Bay	8/29/00		28.474	0.35
TSph10	8/29/00		32.237	0.203
TSph11	8/29/00		20.728	0.16
Joe Bay	8/30/00		29.319	0.378
TSph9	8/30/00		25.226	0.358
Gunboat Isla-9999	9/7/00		33.439	0.518
Oyster Bay	9/7/00		22.342	0.475
Ponce De Leon Bay	9/7/00		19.376	0.14
Tarpon Bay	9/7/00		36.138	0.458
TSph10	9/28/00		56.129	0.105
TSph11	9/28/00		19.114	0.343
Joe Bay	9/29/00		38.262	0.163
Little Madeira Bay	9/29/00		38.367	0.198
TSph9	9/29/00		28.056	0.13
Gunboat Isla-9999	10/6/00		25.599	0.28
Oyster Bay	10/6/00		41.529	0.556
Ponce De Leon Bay	10/6/00		32.821	0.463
Tarpon Bay	10/6/00		27.647	0.257
TSph10	10/26/00		21.318	0.072
TSph11	10/26/00		23.705	0.461
Joe Bay	10/27/00		31.72	0.208
Little Madeira Bay	10/27/00		38.285	0.109
TSph9	10/27/00		29.958	0.1
Gunboat Isla-9999	11/2/00		45.576	0.25
Oyster Bay	11/2/00		32.004	0.561
Ponce De Leon Bay	11/2/00		26.563	0.543
Tarpon Bay	11/2/00		50.846	0.211
Little Madeira Bay	11/30/00		46.409	0.165
TSph10	11/30/00		51.364	0.188
TSph11	11/30/00		21.616	0.383
Joe Bay	12/1/00		36.401	0.215
TSph9	12/1/00		37.522	0.135
Little Madeira Bay	12/11/00		23.929	1.146
TSph10	12/11/00		26.584	1.291
TSph11	12/11/00		15.56	0.878
Joe Bay	12/12/00		20.87	0.228
TSph9	12/12/00		19.084	0.223
Gunboat Isla-9999	12/13/00		27.126	0.493
Oyster Bay	12/13/00		17.648	0.54
Ponce De Leon Bay	12/13/00		19.435	0.865
Tarpon Bay	12/13/00		28.703	0.338
Gunboat Isla-9999	1/4/01		42.682	0.45
Oyster Bay	1/4/01		30.767	1.088
Ponce De Leon Bay	1/4/01		27.604	1.368
Tarpon Bay	1/4/01		47.79	0.353
TSph10	1/25/01		68.057	0.896
TSph11	1/25/01		32.861	1.688
Joe Bay	1/26/01		43.582	0.318
Little Madeira Bay	1/26/01		59.728	1.106
TSph9	1/26/01		45.692	1.074
TSph11	2/20/01		29.985	0.481
Joe Bay	2/21/01		37.795	0.382
Little Madeira Bay	2/21/01		39.828	0.312
TSph10	2/21/01		51.481	0.303
TSph9	2/21/01		43.12	0.279
Gunboat Isla-9999	2/22/01		34.733	0.89
Oyster Bay	2/22/01		31.305	0.925
Ponce De Leon Bay	2/22/01		27.05	0.735
Tarpon Bay	2/22/01		46.255	0.498
Little Madeira Bay	3/6/01		44.035	0.51
TSph10	3/6/01		63.267	0.623
TSph11	3/6/01		63.052	6.77
Joe Bay	3/7/01		34.321	0.538
TSph9	3/7/01		44.395	0.453
Gunboat Isla-9999	3/29/01		37.509	0.465
Oyster Bay	3/29/01		31.034	0.745
Ponce De Leon Bay	3/29/01		34.339	0.745
Tarpon Bay	3/29/01		48.408	0.605
Little Madeira Bay	4/3/01		33.89	0.268
TSph11	4/3/01		12.819	0.38
Joe Bay	4/4/01		29.025	0.225
TSph10	4/4/01		31.186	0.175
TSph9	4/4/01		24.496	0.155
Gunboat Isla-9999	4/23/01		25.278	0.852
Oyster Bay	4/23/01		24.056	0.595
Ponce De Leon Bay	4/23/01		23.311	0.77
Tarpon Bay	4/23/01		34.195	0.638
Joe Bay	5/1/01		29.123	0.173
Little Madeira Bay	5/1/01		30.516	0.118
TSph9	5/1/01		23.886	0.073
TSph10	5/2/01		29.042	0.125
TSph11	5/2/01		6.478	0.103
Gunboat Isla-9999	6/1/01		24.771	0.573
Oyster Bay	6/1/01		17.186	0.488
Ponce De Leon Bay	6/1/01		16.723	0.488
Tarpon Bay	6/1/01		29.797	0.573
Little Madeira Bay	6/5/01		17.417	0.093
TSph10	6/5/01		20.406	0.12
TSph11	6/5/01		5.814	0.193
Joe Bay	6/6/01		21.871	0.13
TSph9	6/6/01		27.43	0.065
Gunboat Isla-9999	6/12/01		19.036	0.443
Tarpon Bay	6/12/01		19.358	0.675
Oyster Bay	6/13/01		11.018	0.405
Ponce De Leon Bay	6/13/01		9.585	0.443
Little Madeira Bay	7/12/01		36.42	0.153
TSph10	7/12/01		36.736	0.248
TSph11	7/12/01		15.66	0.59
Joe Bay	7/13/01		40.695	0.188
TSph9	7/13/01		33.834	0.163
Gunboat Isla-9999	7/31/01		40.006	0.61
Tarpon Bay	7/31/01		46.747	0.39
Oyster Bay	8/6/01		30.935	0.48
Ponce De Leon Bay	8/6/01		21.541	0.52
Little Madeira Bay	8/14/01		45.819	0.163
TSph10	8/14/01		41.224	0.21
TSph11	8/14/01		16.597	0.248
Joe Bay	8/15/01		51.027	0.2
TSph9	8/15/01		38.748	0.143
Gunboat Isla-9999	8/21/01		36.755	0.653
Oyster Bay	8/21/01		27.651	0.648
Ponce De Leon Bay	8/21/01		23.043	0.685
Tarpon Bay	8/21/01		40.534	0.41
Little Madeira Bay	9/5/01		20.258	0.158
TSph10	9/5/01		16.587	0.135
TSph11	9/5/01		5.537	0.303
Joe Bay	9/7/01		27.097	0.12
TSph9	9/7/01		17.404	0.09
Oyster Bay	9/20/01		48.87	0.711
Ponce De Leon Bay	9/20/01		21.236	0.745
Gunboat Isla-9999	9/21/01		30.935	0.02
Tarpon Bay	9/21/01		28.492	0.3
Gunboat Isla-9999	10/17/01		29.244	0.243
Oyster Bay	10/17/01		17.536	0.503
Ponce De Leon Bay	10/17/01		17.364	1.251
Tarpon Bay	10/17/01		26.923	0.215
Little Madeira Bay	10/23/01		28.532	0.138
TSph10	10/23/01		17.366	0.111
TSph11	10/23/01		9.696	0.193
Joe Bay	10/24/01		21.054	0.075
TSph9	10/24/01		25.548	0.135
Gunboat Isla-9999	11/1/01		37.285	0.518
Ponce De Leon Bay	11/1/01		21.635	0.935
Tarpon Bay	11/1/01		47.29	0.481
Oyster Bay	11/2/01		26.196	0.798
Little Madeira Bay	11/8/01		23.702	0.192
TSph10	11/8/01		10.716	0.11
TSph11	11/8/01		13.059	0.414
Joe Bay	11/9/01		13.069	0.173
TSph9	11/9/01		18.53	0.103
Little Madeira Bay	12/3/01		33.953	0.129
TSph10	12/3/01		34.543	0.088
TSph11	12/3/01		21.051	0.193
Joe Bay	12/4/01		26.824	0.171
TSph9	12/4/01		29.33	0.087
Gunboat Isla-9999	12/20/01		42.199	0.148
Oyster Bay	12/20/01		32.075	0.472
Ponce De Leon Bay	12/20/01		29.331	0.444
Tarpon Bay	12/20/01		42.706	0.155
Oyster Bay	1/23/02		15.597	0.687
Ponce De Leon Bay	1/23/02		17.422	0.51
Gunboat Isla-9999	1/24/02		21.267	0.645
Tarpon Bay	1/24/02		20.008	0.501
Little Madeira Bay	1/29/02		28.62	0.265
TSph10	1/29/02		33.949	0.109
TSph11	1/29/02		14.116	0.225
Joe Bay	1/30/02		29.028	0.43
TSph9	1/30/02		24.028	0.306
Gunboat Isla-9999	2/14/02		26.315	0.353
Oyster Bay	2/14/02		14.426	0.393
Ponce De Leon Bay	2/14/02		11.978	0.071
Tarpon Bay	2/14/02		24.545	0.268
Joe Bay	2/19/02		47.891	0.3
Little Madeira Bay	2/19/02		20.074	0.215
TSph9	2/19/02		16.465	0.218
TSph10	2/20/02		22.513	0.155
TSph11	2/20/02		10.781	0.645
Oyster Bay	3/7/02		35.174	0.732
Ponce De Leon Bay	3/7/02		22.793	0.521
Gunboat Isla-9999	3/8/02		32.948	0.249
Tarpon Bay	3/8/02		32.047	0.206
Little Madeira Bay	3/19/02		19.319	0.199
TSph10	3/19/02		23.191	0.152
TSph11	3/19/02		17.319	0.314
Joe Bay	3/20/02		20.296	0.468
TSph9	3/20/02		10.759	0.264
Gunboat Isla-9999	4/3/02		21.77	0.452
Oyster Bay	4/3/02		14.674	0.753
Ponce De Leon Bay	4/3/02		15.266	0.525
Tarpon Bay	4/3/02		24.064	0.508
Little Madeira Bay	4/9/02		17.095	0.165
TSph10	4/9/02		17.114	0.255
TSph11	4/9/02		5.577	0.32
Joe Bay	4/11/02		18.159	0.265
TSph9	4/11/02		15.118	0.223
Oyster Bay	5/1/02		62.093	0.553
Ponce De Leon Bay	5/1/02		53.123	0.462
Gunboat Isla-9999	5/2/02		75.403	0.605
Tarpon Bay	5/2/02		83.911	0.655
Little Madeira Bay	5/15/02		28.769	0.407
TSph10	5/15/02		25.284	0.542
TSph11	5/15/02		25.15	0.357
Joe Bay	5/16/02		33.103	0.438
TSph9	5/16/02		29.589	0.404
Little Madeira Bay	6/4/02		36.392	0.409
TSph10	6/4/02		27.275	0.061
TSph11	6/4/02		24.331	0.12
Joe Bay	6/5/02		32.769	0.213
TSph9	6/5/02		28.208	0.206
Gunboat Isla-9999	6/11/02		40.636	0.89
Ponce De Leon Bay	6/11/02		36.014	0.818
Tarpon Bay	6/11/02		46.788	0.78
Oyster Bay	6/12/02		31.74	0.652
Gunboat Isla-9999	7/1/02		22.074	0.42
Oyster Bay	7/1/02		26.196	1.51
Ponce De Leon Bay	7/1/02		22.763	0.538
Tarpon Bay	7/1/02		24.449	0.333
Joe Bay	7/9/02		13.625	0.3
TSph9	7/9/02		14.196	0.248
TSph10	7/10/02		13.246	0.153
Little Madeira Bay	7/11/02		15.263	0.311
TSph11	7/11/02		7.02	0.278
Joe Bay	8/15/02		67.119	0.171
Little Madeira Bay	8/15/02		57.84	0.185
TSph9	8/15/02		47.813	0.127
TSph10	8/19/02		70.542	0.116
TSph11	8/19/02		35.791	0.275
Gunboat Isla-9999	8/22/02		83.278	0.647
Oyster Bay	8/22/02		62.536	0.771
Ponce De Leon Bay	8/22/02		51.999	0.94
Tarpon Bay	8/22/02		74.935	0.406
Little Madeira Bay	9/17/02		48.367	0.695
TSph10	9/17/02		62.956	0.665
TSph11	9/17/02		37.645	0.709
Joe Bay	9/18/02		40.656	0.612
TSph9	9/18/02		45.114	0.402
Gunboat Isla-9999	9/24/02		54.367	0.543
Oyster Bay	9/24/02		30.789	0.697
Ponce De Leon Bay	9/24/02		33.331	0.808
Tarpon Bay	9/24/02		39.173	0.495
Little Madeira Bay	10/17/02		23.679	0.424
TSph10	10/17/02		21.212	0.294
TSph11	10/17/02		12.851	0.351
Joe Bay	10/18/02		20.652	0.387
TSph9	10/18/02		18.16	0.33
Gunboat Isla-9999	10/29/02		83.576	0.387
Ponce De Leon Bay	10/29/02		31.129	0.607
Tarpon Bay	10/29/02		67.158	0.218
Oyster Bay	10/30/02		62.713	0.497
Little Madeira Bay	11/14/02		63.677	0.366
TSph10	11/14/02		68.004	0.23
TSph11	11/14/02		42.784	0.113
Joe Bay	11/15/02		59.056	0.375
TSph9	11/15/02		64.287	0.192
Gunboat Isla-9999	11/19/02		45.609	0.315
Oyster Bay	11/19/02		41.186	0.319
Ponce De Leon Bay	11/19/02		31.136	0.036
