SITENAME	DATE	SALINTY	TN	TP
TSph10	6/17/92		57.06	0.44
TSph11	6/17/92			
TSph9	6/17/92		67.4	0.18
Joe Bay	7/15/92		57.61	0.67
Little Madeira Bay	7/15/92		70.45	0.44
TSph10	7/15/92		64.6	0.26
TSph11	7/15/92		12.1	0.38
TSph9	7/15/92		73.07	0.29
Joe Bay	8/12/92		50.82	0.54
Little Madeira Bay	8/12/92		66.85	0.41
TSph10	8/12/92		103.05	0.28
TSph11	8/12/92		13.69	0.31
TSph9	8/12/92		64.54	0.21
Joe Bay	9/8/92		82.85	0.61
Little Madeira Bay	9/8/92		87.85	0.34
TSph10	9/8/92		72.87	0.24
TSph11	9/8/92		21.37	0.76
TSph9	9/8/92		82.13	0.34
Gunboat Isla-9999	9/15/92		73.36	0.62
Oyster Bay	9/15/92		45.95	1.06
Ponce de Leon Bay	9/15/92		40.54	1.04
Tarpon Bay	9/15/92		79.4	0.57
Joe Bay	10/13/92		74.61	0.43
Little Madeira Bay	10/13/92		60.43	0.23
TSph10	10/13/92		94.09	0.11
TSph11	10/13/92		26.69	0.25
TSph9	10/13/92		62.06	0.18
Gunboat Isla-9999	10/20/92		206.19	0.56
Oyster Bay	10/20/92		129.29	0.47
Ponce de Leon Bay	10/20/92		115.89	0.48
Tarpon Bay	10/20/92		210.8	0.46
Joe Bay	11/10/92		56.61	0.55
Little Madeira Bay	11/10/92		55.34	0.26
TSph10	11/10/92		53.4	0.16
TSph11	11/10/92		79.46	1.78
TSph9	11/10/92		52.75	0.15
Gunboat Isla-9999	11/17/92		111.33	0.49
Oyster Bay	11/17/92		70.16	0.47
Ponce de Leon Bay	11/17/92		44.89	0.37
Tarpon Bay	11/17/92		122.56	0.48
Joe Bay	12/1/92		60.77	0.47
Little Madeira Bay	12/1/92		60.18	0.26
TSph10	12/1/92		50.18	0.17
TSph11	12/1/92		61.77	1.35
TSph9	12/1/92		60.24	0.19
Gunboat Isla-9999	12/8/92		85.29	0.7
Oyster Bay	12/8/92		48.64	0.51
Ponce de Leon Bay	12/8/92		34.93	0.52
Tarpon Bay	12/8/92		93.53	0.61
Joe Bay	1/20/93		58.97	0.55
Little Madeira Bay	1/20/93		48.96	0.23
TSph10	1/20/93		64.55	0.28
TSph11	1/20/93		52.91	0.86
TSph9	1/20/93		48.27	0.19
Gunboat Isla-9999	1/27/93		124.76	0.87
Oyster Bay	1/27/93		39.86	0.75
Ponce de Leon Bay	1/27/93		49.61	0.72
Tarpon Bay	1/27/93		113.51	0.71
Joe Bay	2/9/93		53.71	0.47
Little Madeira Bay	2/9/93		44.9	0.29
TSph10	2/9/93		91.91	0.62
TSph11	2/9/93		20.85	0.31
TSph9	2/9/93		48.34	0.25
Gunboat Isla-9999	2/17/93		76.34	0.68
Oyster Bay	2/17/93		44.26	0.48
Ponce de Leon Bay	2/17/93		34.76	0.46
Tarpon Bay	2/17/93		103.03	0.74
Joe Bay	3/9/93		49.27	0.47
Little Madeira Bay	3/9/93		47.54	0.3
TSph10	3/9/93		104.51	0.59
TSph11	3/9/93		17.33	0.27
TSph9	3/9/93		43.57	0.24
Gunboat Isla-9999	3/23/93		78.47	0.92
Oyster Bay	3/23/93		40.22	0.71
Ponce de Leon Bay	3/23/93		29.05	0.14
Tarpon Bay	3/23/93		84.92	1.12
Joe Bay	4/6/93		60	0.5
Little Madeira Bay	4/6/93		58.29	0.29
TSph10	4/6/93		63.55	0.48
TSph11	4/6/93		23.75	1.16
TSph9	4/6/93		61.3	0.23
Gunboat Isla-9999	4/28/93		106.85	1.29
Oyster Bay	4/28/93		40.36	0.96
Ponce de Leon Bay	4/28/93		38.36	0.63
Tarpon Bay	4/28/93		107.37	1.45
Joe Bay	5/11/93		63.63	0.51
Little Madeira Bay	5/11/93		49.36	0.19
TSph10	5/11/93		66.13	0.33
TSph11	5/11/93		15.88	0.39
TSph9	5/11/93		44.9	0.21
Gunboat Isla-9999	5/19/93		64.38	0.53
Oyster Bay	5/19/93		33.55	0.62
Ponce de Leon Bay	5/19/93		32.91	0.53
Tarpon Bay	5/19/93		118.4	0.54
Joe Bay	6/2/93		56.97	0.44
Little Madeira Bay	6/2/93		49.42	0.24
TSph10	6/2/93		69.02	0.37
TSph11	6/2/93		49.41	0.76
TSph9	6/2/93		43.87	0.27
Gunboat Isla-9999	6/9/93		86.94	0.64
Oyster Bay	6/9/93		61.9	0.69
Ponce de Leon Bay	6/9/93		57.75	0.67
Tarpon Bay	6/9/93		102.92	0.54
Joe Bay	7/6/93		108.45	0.53
Little Madeira Bay	7/6/93		76.49	0.23
TSph10	7/6/93		92.79	0.17
TSph11	7/6/93		18.43	0.11
TSph9	7/6/93		65.2	0.2
Gunboat Isla-9999	7/13/93		83.4	0.74
Oyster Bay	7/13/93		52.71	0.35
Ponce de Leon Bay	7/13/93		40.91	0.41
Tarpon Bay	7/13/93		81.64	0.6
Joe Bay	8/3/93		67.37	0.47
Little Madeira Bay	8/3/93		63.76	0.17
TSph10	8/3/93		123.1	0.22
TSph11	8/3/93		22.69	0.13
TSph9	8/3/93		52.42	0.17
Gunboat Isla-9999	8/10/93		63.49	0.54
Oyster Bay	8/10/93		39.54	0.47
Ponce de Leon Bay	8/10/93		37.51	0.41
Tarpon Bay	8/10/93		81.39	0.43
Joe Bay	9/8/93		63.37	0.39
Little Madeira Bay	9/8/93		67.14	0.21
TSph10	9/8/93		107.37	0.19
TSph11	9/8/93		14	0.09
TSph9	9/8/93		56.63	0.14
Gunboat Isla-9999	9/16/93		63.28	0.47
Oyster Bay	9/16/93		29.1	0.39
Ponce de Leon Bay	9/16/93		25.24	0.31
Tarpon Bay	9/16/93		75.4	0.63
Joe Bay	10/5/93		57.96	0.58
Little Madeira Bay	10/5/93		56.8	0.35
TSph10	10/5/93		46.01	0.17
TSph11	10/5/93		30.43	0.83
TSph9	10/5/93		44.34	0.2
Gunboat Isla-9999	10/12/93		37.33	0.69
Oyster Bay	10/12/93		36.15	0.34
Ponce de Leon Bay	10/12/93		32.46	0.47
Tarpon Bay	10/12/93		62.88	0.73
Joe Bay	11/2/93		67.66	0.32
Little Madeira Bay	11/2/93		76.75	0.18
TSph10	11/2/93		101.23	0.31
TSph11	11/2/93		18.19	0.18
TSph9	11/2/93		63.52	0.15
Gunboat Isla-9999	11/9/93		49.02	0.88
Oyster Bay	11/9/93		44.19	0.42
Ponce de Leon Bay	11/9/93		30.28	0.41
Tarpon Bay	11/9/93		71.2	1.2
Joe Bay	12/1/93		35	0.56
Little Madeira Bay	12/1/93		36.9	0.3
TSph10	12/1/93		40.18	0.32
TSph11	12/1/93		42.08	0.84
TSph9	12/1/93		32.5	0.16
Gunboat Isla-9999	12/7/93		104.3	0.57
Oyster Bay	12/7/93		44.08	0.3
Ponce de Leon Bay	12/7/93		41.11	0.24
Tarpon Bay	12/7/93		97.94	0.68
Joe Bay	1/10/94		45.58	0.43
Little Madeira Bay	1/10/94		49.16	0.2
TSph10	1/10/94		60.41	0.44
TSph11	1/10/94		16.37	0.42
TSph9	1/10/94		40.79	0.18
Gunboat Isla-9999	1/24/94		90.63	1.01
Oyster Bay	1/24/94		34.94	0.49
Ponce de Leon Bay	1/24/94		34.22	0.49
Tarpon Bay	1/24/94		87.75	0.85
Joe Bay	2/1/94		58.91	0.39
Little Madeira Bay	2/1/94		62.75	0.28
TSph10	2/1/94		81	0.64
TSph11	2/1/94		28.99	2.88
TSph9	2/1/94		60.87	0.32
Gunboat Isla-9999	2/8/94		62.62	0.56
Oyster Bay	2/8/94		43.07	0
Ponce de Leon Bay	2/8/94		33.19	0
Tarpon Bay	2/8/94		116.06	0.6
Joe Bay	3/8/94		66.59	0.41
Little Madeira Bay	3/8/94		75.22	0.27
TSph10	3/8/94		124.31	0.81
TSph11	3/8/94		17.89	0.46
TSph9	3/8/94		64.8	0.2
Gunboat Isla-9999	3/12/94		52.41	0.43
Oyster Bay	3/12/94		27.61	0.72
Ponce de Leon Bay	3/12/94		24.69	0.42
Tarpon Bay	3/12/94		89.2	0.72
Joe Bay	4/5/94		39.77	0.32
Little Madeira Bay	4/5/94		44.29	0.14
TSph10	4/5/94		45.9	0.18
TSph11	4/5/94		12.06	0.13
TSph9	4/5/94		34.21	0.13
Gunboat Isla-9999	4/12/94		50.97	0.94
Oyster Bay	4/12/94		36.1	0.59
Ponce de Leon Bay	4/12/94		29.02	0.67
Tarpon Bay	4/12/94		83.3	1.51
Joe Bay	5/3/94		71.63	0.48
Little Madeira Bay	5/3/94		52.74	0.22
TSph10	5/3/94		72.39	0.12
TSph11	5/3/94		24.13	0.5
TSph9	5/3/94		57.06	0.19
Gunboat Isla-9999	5/10/94		45.2	0.92
Oyster Bay	5/10/94		11.36	0.72
Ponce de Leon Bay	5/10/94		32.73	0.71
Tarpon Bay	5/10/94		71.1	1.27
Joe Bay	6/7/94		71	0.36
Little Madeira Bay	6/7/94		66.01	0.26
TSph10	6/7/94		86.49	0.31
TSph11	6/7/94		25.38	0.16
TSph9	6/7/94		65.56	0.17
Gunboat Isla-9999	6/21/94		43.89	1.25
Oyster Bay	6/21/94		30.54	0.69
Ponce de Leon Bay	6/21/94		26.32	0.78
Tarpon Bay	6/21/94		75.02	1.37
Joe Bay	7/6/94		69.07	0.55
Little Madeira Bay	7/6/94		80.56	0.31
TSph10	7/6/94		85.86	0.52
TSph11	7/6/94		24.88	0.29
TSph9	7/6/94		59.46	0.23
Gunboat Isla-9999	7/12/94		73.8	1.06
Oyster Bay	7/12/94		42.43	0.66
Ponce de Leon Bay	7/12/94		34.46	0.48
Tarpon Bay	7/12/94		75.02	1.04
Joe Bay	8/2/94		73.23	0.32
Little Madeira Bay	8/2/94		87.99	0.28
TSph10	8/2/94		66.71	0.21
TSph11	8/2/94		18.43	0.25
TSph9	8/2/94		64.72	0.15
Gunboat Isla-9999	8/9/94		82.28	1.25
Oyster Bay	8/9/94		29.43	0.82
Ponce de Leon Bay	8/9/94		30.38	0.82
Tarpon Bay	8/9/94		86.94	1.13
Joe Bay	9/13/94		73.78	0.38
Little Madeira Bay	9/13/94		72.11	0.29
TSph10	9/13/94		62.02	0.17
TSph11	9/13/94		18.41	0.35
TSph9	9/13/94		63.27	0.5
Gunboat Isla-9999	9/20/94		70.39	0.78
Oyster Bay	9/20/94		43.79	0.79
Ponce de Leon Bay	9/20/94		34.72	0.81
Tarpon Bay	9/20/94		75.5	0.94
Joe Bay	10/4/94		43.86	0.8
Little Madeira Bay	10/4/94		70.04	0.34
TSph10	10/4/94		64.14	0.32
TSph11	10/4/94		15.47	0.37
TSph9	10/4/94		57.02	0.24
Gunboat Isla-9999	10/11/94		77.43	0.85
Oyster Bay	10/11/94		48.75	0.43
Ponce de Leon Bay	10/11/94		46.91	0.4
Tarpon Bay	10/11/94		78.56	0.74
Joe Bay	11/1/94		53.23	0.65
Little Madeira Bay	11/1/94		63.36	0.36
TSph10	11/1/94		55.23	0.31
TSph11	11/1/94		19.66	0.44
TSph9	11/1/94		54.57	0.31
Gunboat Isla-9999	11/8/94		64.94	0.67
Oyster Bay	11/8/94		51.35	0.54
Ponce de Leon Bay	11/8/94		39.15	0.64
Tarpon Bay	11/8/94		69.92	0.9
Joe Bay	11/21/94		39.63	0.56
Little Madeira Bay	11/21/94		52.44	0.57
