SITENAME	DATE	SALINITY	TN	TP
TSph3	7/29/01	0	77.649	0.1
TSph3	8/1/01	0	74.182	0.08
TSph3	8/4/01	0	53.139	0.04
TSph3	8/7/01	0	52.795	0.12
TSph3	8/10/01	0	50.381	0.16
TSph3	8/13/01	0	53.208	0.08
TSph3	8/14/01	0	60.521	0.15
TSph3	8/19/01	0	34.335	0.14
TSph3	8/22/01	0	24.69	0.21
TSph3	8/25/01	0	23.434	0.13
TSph3	8/28/01	0	19.885	0.15
TSph3	8/31/01	0	23.672	0.15
TSph3	9/3/01	0	23.091	0.06
TSph3	9/6/01	0	24.043	0.07
TSph3	9/9/01	0	21.682	0.11
TSph3	9/12/01	0	21.227	0.1
TSph3	9/15/01	0	17.163	0.08
TSph3	9/18/01	0	16.902	0.1
TSph3	9/21/01	0	19.538	0.11
TSph3	9/29/01	0	37.466	0.05
TSph3	10/2/01	0	33.371	0.04
TSph3	10/5/01	0	74.821	0.04
TSph3	10/8/01	0	43.533	0.04
TSph3	10/11/01	0	36.227	0.04
TSph3	10/14/01	0	48.482	0.05
TSph3	10/17/01	0	35.655	0.06
TSph3	10/20/01	0	42.911	0.07
TSph3	10/22/01	0	36.75	0.05
TSph3	10/25/01	0	30.561	0.07
TSph3	10/28/01	0	28.182	0.04
TSph3	10/31/01	0	29.445	0.05
TSph3	11/3/01	0	28.184	0.04
TSph3	11/6/01	0	36.29	0.04
TSph3	11/9/01	0	34.678	0.09
TSph3	11/12/01	0	40.906	0.08
TSph3	11/15/01	0	32.532	0.11
TSph3	11/16/01	0	35.641	0.1
TSph3	11/19/01	0	26.501	0.16
TSph3	11/22/01	0	29.435	0.16
TSph3	11/25/01	0	32.013	0.09
TSph3	11/28/01	0	32.077	0.08
TSph3	12/1/01	0	34.351	0.07
TSph3	12/4/01	0	33.248	0.11
TSph3	12/5/01	0	34.021	0.16
TSph3	12/14/01	0	29.155	0.01
TSph3	12/17/01	0	33.143	0.01
TSph3	12/20/01	0	29.242	0.01
TSph3	12/23/01	0	28.513	0.01
TSph3	12/26/01	0	30.136	0.01
TSph3	12/29/01	0	33.347	0.01
TSph3	1/1/02	0	34.719	0.1
TSph3	1/3/02	0	27.602	0.19
TSph3	1/7/02	0	64.097	0.01
TSph3	1/10/02	0	39.393	0.01
TSph3	1/13/02	0	45.371	0.01
TSph3	1/16/02	0	38.262	0.01
TSph3	1/19/02	0	46.178	0.1
TSph3	1/22/02	0	32.596	0.13
TSph3	1/25/02	0	40.019	0.01
TSph3	1/28/02	0	32.86	0.01
TSph3	1/31/02	0	40.995	0.01
TSph3	2/3/02	0	38.33	0.1
TSph3	2/6/02	0	44.673	0.09
TSph3	2/7/02	0	49.246	0.17
TSph3	7/8/02	0	25.557	0.22
TSph3	7/11/02	0	19.145	0.35
TSph3	7/14/02	0	20.745	0.29
TSph3	7/17/02	0	20.787	0.2
TSph3	7/20/02	0	20.767	0.16
TSph3	7/23/02	0	24.349	0.09
TSph3	7/26/02	0	29.122	0.09
TSph3	7/29/02	0	25.799	0.07
TSph3	8/1/02	0	30.27	0.07
TSph3	8/2/02	0	28.381	0.08
TSph3	8/5/02	0	25.042	0.01
TSph3	8/8/02	0	27.396	0.04
TSph3	8/11/02	0	24.604	0.01
TSph3	8/14/02	0	24.293	0.01
TSph3	8/17/02	0	27.717	0.04
TSph3	8/20/02	0	27.771	0.06
TSph3	8/23/02	0	31.944	0.11
TSph3	8/26/02	0	26.804	0.03
TSph3	8/29/02	0	28.443	0.1
TSph3	9/1/02	0	28.663	0.12
TSph3	9/4/02	0	27.381	0.1
TSph3	9/6/02	0	25.959	0.1
TSph3	9/9/02	0	27.915	0.05
TSph3	9/12/02	0	31	0.38
TSph3	9/15/02	0	30.108	0.22
TSph3	9/18/02	0	33.631	0.18
TSph3	9/21/02	0	33.393	0.16
TSph3	9/24/02	0	33.453	0.1
TSph3	9/27/02	0	31.705	0.06
TSph3	9/30/02	0	32.192	0.07
TSph3	10/3/02	0	36.943	0.1
TSph3	10/6/02	0	36.632	0.14
TSph3	10/9/02	0	37.473	0.07
TSph3	10/12/02	0	35.917	0.05
TSph3	10/15/02	0	35.169	0.03
TSph3	10/27/02	0	31.111	0.01
TSph3	10/30/02	0	33.287	0.14
TSph3	11/2/02	0	25.631	0.11
TSph3	11/5/02	0	23.468	0.05
TSph3	11/8/02	0	25.802	0.04
TSph3	11/11/02	0	23.227	0.07
TSph3	11/13/02	0	25.863	0.09
TSph3	11/22/02	0	44.351	0.06
TSph3	11/25/02	0	49.988	0.05
TSph3	11/28/02	0	47.863	0.06
TSph3	12/1/02	0	50.177	0.07
TSph3	12/4/02	0	47.547	0.09
TSph3	12/7/02	0	0.01	0.06
TSph3	12/10/02	0	54.63	0.09
TSph3	12/12/02	0	61.796	0.07
TSph3	12/15/02	0	63.036	0.1
TSph3	12/18/02	0	32.095	0.11
TSph3	12/21/02	0	32.944	0.09
TSph3	12/24/02	0	36.5	0.06
TSph3	12/27/02	0	46.168	0.05
TSph3	12/30/02	0	43.112	0.06
TSph3	1/2/03	0	34.322	0.06
TSph3	1/5/03	0	34.686	0.05
TSph3	1/8/03	0	46.767	0.07
TSph3	1/11/03	0	40.581	0.08
TSph3	1/14/03	0	46.779	0.11
TSph3	1/16/03	0	42.816	0.07
TSph3	1/20/03	0	48.491	0.1
TSph3	1/23/03	0	52.939	0.09
TSph3	1/26/03	0	63.758	0.09
TSph3	1/29/03	0	47.116	0.09
TSph3	2/1/03	0	55.029	0.06
TSph3	2/4/03	0	55.821	0.12
TSph3	2/6/03	0	72.209	0.15
TSph3	2/9/03	0	60.949	0.07
TSph3	2/12/03	0	58.679	0.11
TSph3	4/21/03	0	49.454	0.06
TSph3	4/27/03	0	59.087	0.09
TSph3	4/30/03	0	135.497	0.08
TSph3	5/3/03	0	82.956	0.07
TSph3	5/19/03	0	53.336	0.07
TSph3	5/22/03	0	38.132	0.05
TSph3	5/25/03	0	38.78	0.05
TSph3	5/28/03	0	39.571	0.04
TSph3	5/31/03	0	36.276	0.05
TSph3	6/3/03	0	35.66	0.04
TSph3	6/6/03	0	42.147	0.19
TSph3	6/9/03	0	37.96	0.18
TSph3	6/12/03	0	36.317	0.12
TSph3	6/15/03	0	39.309	0.24
TSph3	6/18/03	0	41.766	0.16
TSph3	6/21/03	0	40.137	0.1
TSph3	6/24/03	0	34.488	0.08
TSph3	6/27/03	0	35.94	0.07
TSph3	6/30/03	0	43.564	0.14
TSph3	7/5/03	0	56.716	0.06
TSph3	7/8/03	0	55.001	0.04
TSph3	7/11/03	0	61.466	0.06
TSph3	7/14/03	0	59.316	0.02
TSph3	7/17/03	0	65.263	0.04
TSph3	7/20/03	0	62.125	0.06
TSph3	7/23/03	0	74.737	0.12
TSph3	7/26/03	0	66.768	0.07
TSph3	7/29/03	0	54.534	0.09
TSph3	8/1/03	0	86.244	0.11
TSph3	8/4/03	0	88.057	0.11
TSph3	8/7/03	0	99.529	0.1
TSph3	8/10/03	0	79.871	0.07
TSph3	8/13/03	0	69.621	0.08
TSph3	8/18/03	0	62.311	0.08
TSph3	9/9/03	0	48.687	0.07
TSph3	9/12/03	0	36.953	0.06
TSph3	9/15/03	0	26.659	0.06
TSph3	9/18/03	0	44.977	0.04
TSph3	9/21/03	0	29.541	0.06
TSph3	9/26/03	0	29.032	0.08
