source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n
SPOM,-19.525625,3.399260643,4.65625,1.472828911,3.387,5.42269316,10
Red Mangrove,-27.04142857,0.875831578,2.811428571,2.111235251,-8.804285714,4.153792874,7
Epiphytic microalgae,-17.10263158,7.708589612,4.915789474,2.600237843,10.53,6.366758464,16
Seagrass,-10.67782609,3.07310405,3.043043478,2.780089423,6.903913043,5.810463924,46
