SITENAME,DATE,YEAR,MONTH,TN_uM_L,TN_moles_L,TN_g_L,TN_ug_L,TP_uM_L,TP_moles_L,TP_g_L,TP_ug_L,NP
TSph11,9/9/03,2003,September,17.21,0.00,0.00,241.10,0.17,0.00,0.00,5.36,44.99
TSph3,9/12/03,2003,September,36.95,0.00,0.00,517.60,0.06,0.00,0.00,1.86,278.51
TSph7,9/12/03,2003,September,45.06,0.00,0.00,631.09,0.13,0.00,0.00,4.03,156.73
TSph3,9/15/03,2003,September,26.66,0.00,0.00,373.41,0.06,0.00,0.00,1.86,200.93
TSph7,9/15/03,2003,September,42.49,0.00,0.00,595.21,0.08,0.00,0.00,2.48,240.21
TSph3,9/18/03,2003,September,44.98,0.00,0.00,629.99,0.04,0.00,0.00,1.24,508.49
TSph7,9/18/03,2003,September,41.03,0.00,0.00,574.74,0.14,0.00,0.00,4.34,132.54
TSph3,9/21/03,2003,September,29.54,0.00,0.00,413.78,0.06,0.00,0.00,1.86,222.65
TSph7,9/21/03,2003,September,26.94,0.00,0.00,377.29,0.07,0.00,0.00,2.17,174.01
TSph7,9/24/03,2003,September,27.11,0.00,0.00,379.69,0.08,0.00,0.00,2.48,153.23
TSph7,9/25/03,2003,September,37.79,0.00,0.00,529.31,0.11,0.00,0.00,3.41,155.35
TSph3,9/26/03,2003,September,29.03,0.00,0.00,406.65,0.08,0.00,0.00,2.48,164.11
TSph7,9/28/03,2003,September,32.12,0.00,0.00,449.85,0.14,0.00,0.00,4.34,103.74
TSph3,9/29/03,2003,September,30.15,0.00,0.00,422.35,0.05,0.00,0.00,1.55,272.71
TSph7,10/1/03,2003,October,35.13,0.00,0.00,492.00,0.22,0.00,0.00,6.81,72.20
TSph3,10/2/03,2003,October,25.31,0.00,0.00,354.53,0.06,0.00,0.00,1.86,190.77
TSph3,10/5/03,2003,October,27.15,0.00,0.00,380.30,0.05,0.00,0.00,1.55,245.56
TSph7,10/7/03,2003,October,30.32,0.00,0.00,424.72,0.24,0.00,0.00,7.43,57.13
TSph3,10/8/03,2003,October,29.00,0.00,0.00,406.23,0.07,0.00,0.00,2.17,187.36
TSph7,10/10/03,2003,October,29.95,0.00,0.00,419.50,0.28,0.00,0.00,8.67,48.37
TSph3,10/11/03,2003,October,30.22,0.00,0.00,423.22,0.07,0.00,0.00,2.17,195.20
TSph7,10/13/03,2003,October,30.95,0.00,0.00,433.47,0.22,0.00,0.00,6.81,63.61
TSph3,10/14/03,2003,October,25.29,0.00,0.00,354.28,0.06,0.00,0.00,1.86,190.63
TSph11,10/15/03,2003,October,14.11,0.00,0.00,197.60,0.21,0.00,0.00,6.63,29.81
TSph10,10/15/03,2003,October,42.59,0.00,0.00,596.61,0.26,0.00,0.00,8.18,72.96
TSph9,10/16/03,2003,October,30.34,0.00,0.00,424.96,0.18,0.00,0.00,5.51,77.08
TSph7,10/16/03,2003,October,29.07,0.00,0.00,407.24,0.28,0.00,0.00,8.67,46.96
TSph7,10/19/03,2003,October,36.87,0.00,0.00,516.41,0.25,0.00,0.00,7.74,66.69
TSph7,10/22/03,2003,October,38.04,0.00,0.00,532.88,0.17,0.00,0.00,5.27,101.20
TSph3,10/23/03,2003,October,62.78,0.00,0.00,879.29,0.13,0.00,0.00,4.03,218.37
TSph7,10/25/03,2003,October,34.43,0.00,0.00,482.25,0.12,0.00,0.00,3.72,129.75
TSph3,10/26/03,2003,October,31.00,0.00,0.00,434.15,0.15,0.00,0.00,4.65,93.44
TSph7,10/28/03,2003,October,42.21,0.00,0.00,591.18,0.22,0.00,0.00,6.81,86.76
TSph3,10/29/03,2003,October,42.54,0.00,0.00,595.87,0.65,0.00,0.00,20.13,29.60
TSph7,10/31/03,2003,October,36.34,0.00,0.00,508.99,0.08,0.00,0.00,2.48,205.41
TSph3,11/1/03,2003,November,33.49,0.00,0.00,469.02,0.32,0.00,0.00,9.91,47.32
TSph7,11/3/03,2003,November,36.69,0.00,0.00,513.86,0.10,0.00,0.00,3.10,165.90
TSph3,11/4/03,2003,November,31.41,0.00,0.00,439.96,0.26,0.00,0.00,8.05,54.63
TSph9,11/5/03,2003,November,43.80,0.00,0.00,613.51,0.24,0.00,0.00,7.34,83.57
TSph7,11/6/03,2003,November,29.15,0.00,0.00,408.28,0.09,0.00,0.00,2.79,146.46
TSph3,11/6/03,2003,November,26.23,0.00,0.00,367.43,0.40,0.00,0.00,12.39,29.66
TSph10,11/7/03,2003,November,26.91,0.00,0.00,376.94,0.15,0.00,0.00,4.74,79.54
TSph11,11/7/03,2003,November,18.18,0.00,0.00,254.62,0.28,0.00,0.00,8.80,28.95
TSph3,11/9/03,2003,November,18.30,0.00,0.00,256.37,0.09,0.00,0.00,2.79,91.97
TSph7,11/9/03,2003,November,33.32,0.00,0.00,466.70,0.13,0.00,0.00,4.03,115.90
TSph3,11/12/03,2003,November,21.65,0.00,0.00,303.18,0.07,0.00,0.00,2.17,139.83
TSph7,11/12/03,2003,November,29.23,0.00,0.00,409.44,0.14,0.00,0.00,4.34,94.42
TSph3,11/15/03,2003,November,27.38,0.00,0.00,383.46,0.08,0.00,0.00,2.48,154.75
TSph7,11/15/03,2003,November,32.52,0.00,0.00,455.45,0.13,0.00,0.00,4.03,113.11
TSph3,11/18/03,2003,November,20.97,0.00,0.00,293.66,0.09,0.00,0.00,2.79,105.34
TSph7,11/18/03,2003,November,29.69,0.00,0.00,415.80,0.14,0.00,0.00,4.34,95.89
TSph7,11/20/03,2003,November,33.87,0.00,0.00,474.36,0.17,0.00,0.00,5.27,90.09
TSph3,11/21/03,2003,November,22.15,0.00,0.00,310.26,0.04,0.00,0.00,1.24,250.42
TSph7,11/23/03,2003,November,26.79,0.00,0.00,375.23,0.15,0.00,0.00,4.65,80.76
TSph3,11/24/03,2003,November,23.51,0.00,0.00,329.32,0.03,0.00,0.00,0.93,354.40
TSph7,11/26/03,2003,November,28.83,0.00,0.00,403.81,0.27,0.00,0.00,8.36,48.29
TSph3,11/27/03,2003,November,21.29,0.00,0.00,298.22,0.04,0.00,0.00,1.24,240.70
TSph7,11/29/03,2003,November,24.42,0.00,0.00,342.11,0.20,0.00,0.00,6.19,55.22
