Site,Date,Year,Salinity,TN_um_L,TN_moles_L,TN_g_L,TN_ug_L,TP_um_L,TP_moles_L,TP_g_L,TP_ug_L,NP_molar,NP_mass
SRS2,2/22/05,2005,0.00,76.87,0.000077,0.001077,1076.66,0.12,0.000000,0.000004,3.72,640.55,289.67
SRS3,2/22/05,2005,0.00,97.89,0.000098,0.001371,1371.19,0.25,0.000000,0.000008,7.74,391.57,177.08
SRS4,2/24/05,2005,6.80,44.17,0.000044,0.000619,618.62,0.21,0.000000,0.000007,6.50,210.31,95.11
SRS5,2/24/05,2005,19.60,33.01,0.000033,0.000462,462.36,0.34,0.000000,0.000011,10.53,97.09,43.90
SRS6,2/24/05,2005,26.80,26.23,0.000026,0.000367,367.45,0.45,0.000000,0.000014,13.94,58.30,26.36
SRS1,2/25/05,2005,0.00,104.67,0.000105,0.001466,1466.10,0.23,0.000000,0.000007,7.12,455.08,205.80
SRS2,2/25/05,2005,0.00,75.92,0.000076,0.001063,1063.40,0.14,0.000000,0.000004,4.34,542.28,245.23
SRS3,2/25/05,2005,0.00,83.59,0.000084,0.001171,1170.80,0.16,0.000000,0.000005,4.96,522.42,236.25
SRS4,2/27/05,2005,7.00,29.87,0.000030,0.000418,418.35,0.20,0.000000,0.000006,6.19,149.34,67.53
SRS5,2/27/05,2005,23.00,29.44,0.000029,0.000412,412.32,0.35,0.000000,0.000011,10.84,84.11,38.03
SRS6,2/27/05,2005,28.90,25.22,0.000025,0.000353,353.20,0.44,0.000000,0.000014,13.63,57.31,25.92
SRS2,2/28/05,2005,0.00,81.99,0.000082,0.001148,1148.49,0.16,0.000000,0.000005,4.96,512.46,231.74
SRS3,2/28/05,2005,0.00,84.91,0.000085,0.001189,1189.39,0.15,0.000000,0.000005,4.65,566.09,256.00
SRS4,3/2/05,2005,8.50,44.28,0.000044,0.000620,620.17,0.27,0.000000,0.000008,8.36,163.99,74.16
SRS5,3/2/05,2005,24.90,28.99,0.000029,0.000406,406.06,0.30,0.000000,0.000009,9.29,96.63,43.70
SRS6,3/2/05,2005,30.30,22.08,0.000022,0.000309,309.20,0.47,0.000000,0.000015,14.56,46.97,21.24
SRS2,3/3/05,2005,0.00,88.41,0.000088,0.001238,1238.37,0.17,0.000000,0.000005,5.27,520.06,235.18
SRS3,3/3/05,2005,0.00,92.40,0.000092,0.001294,1294.18,0.20,0.000000,0.000006,6.19,461.98,208.91
SRS4,3/5/05,2005,7.70,45.13,0.000045,0.000632,632.18,0.25,0.000000,0.000008,7.74,180.53,81.64
SRS5,3/5/05,2005,15.70,35.50,0.000036,0.000497,497.30,0.39,0.000000,0.000012,12.08,91.04,41.17
SRS6,3/5/05,2005,25.70,26.18,0.000026,0.000367,366.73,0.35,0.000000,0.000011,10.84,74.81,33.83
SRS1,3/6/05,2005,0.00,129.23,0.000129,0.001810,1810.11,0.25,0.000000,0.000008,7.74,516.92,233.76
SRS2,3/6/05,2005,0.00,92.61,0.000093,0.001297,1297.23,0.18,0.000000,0.000006,5.58,514.52,232.67
SRS3,3/6/05,2005,0.00,87.35,0.000087,0.001224,1223.55,0.15,0.000000,0.000005,4.65,582.35,263.35
SRS4,3/8/05,2005,6.80,43.35,0.000043,0.000607,607.18,0.25,0.000000,0.000008,7.74,173.39,78.41
SRS5,3/8/05,2005,23.50,32.30,0.000032,0.000452,452.41,0.50,0.000001,0.000015,15.49,64.60,29.21
SRS6,3/8/05,2005,26.50,26.61,0.000027,0.000373,372.73,0.43,0.000000,0.000013,13.32,61.88,27.98
SRS2,3/9/05,2005,0.00,103.28,0.000103,0.001447,1446.60,0.16,0.000000,0.000005,4.96,645.48,291.90
SRS3,3/9/05,2005,0.00,87.19,0.000087,0.001221,1221.33,0.17,0.000000,0.000005,5.27,512.91,231.95
SRS4,3/9/05,2005,7.10,35.01,0.000035,0.000490,490.37,0.24,0.000000,0.000007,7.43,145.87,65.97
SRS5,3/9/05,2005,25.50,30.82,0.000031,0.000432,431.64,0.39,0.000000,0.000012,12.08,79.02,35.73
SRS6,3/9/05,2005,29.10,22.41,0.000022,0.000314,313.85,0.53,0.000001,0.000016,16.42,42.28,19.12
SRS1,3/12/05,2005,0.00,105.56,0.000106,0.001479,1478.58,0.17,0.000000,0.000005,5.27,620.94,280.80
SRS2,3/12/05,2005,0.00,98.44,0.000098,0.001379,1378.88,0.16,0.000000,0.000005,4.96,615.26,278.23
SRS3,3/12/05,2005,0.00,81.88,0.000082,0.001147,1146.95,0.18,0.000000,0.000006,5.58,454.91,205.72
SRS4,3/12/05,2005,7.70,35.95,0.000036,0.000504,503.55,0.22,0.000000,0.000007,6.81,163.41,73.90
SRS5,3/12/05,2005,22.10,29.75,0.000030,0.000417,416.75,0.76,0.000001,0.000024,23.54,39.15,17.70
SRS6,3/12/05,2005,28.90,33.34,0.000033,0.000467,467.04,0.66,0.000001,0.000020,20.44,50.52,22.85
SRS2,3/15/05,2005,0.00,98.98,0.000099,0.001386,1386.43,0.17,0.000000,0.000005,5.27,582.24,263.30
SRS3,3/15/05,2005,0.00,106.87,0.000107,0.001497,1496.98,0.00,0.000000,0.000000,0.03,106874.00,48330.35
SRS4,3/15/05,2005,8.20,39.72,0.000040,0.000556,556.37,0.30,0.000000,0.000009,9.29,132.40,59.88
SRS5,3/15/05,2005,21.50,60.67,0.000061,0.000850,849.85,1.21,0.000001,0.000037,37.48,50.14,22.68
SRS6,3/15/05,2005,29.00,37.42,0.000037,0.000524,524.11,0.77,0.000001,0.000024,23.85,48.59,21.98
SRS2,3/16/05,2005,0.00,107.94,0.000108,0.001512,1511.96,0.23,0.000000,0.000007,7.12,469.32,212.23
SRS3,3/16/05,2005,0.00,89.12,0.000089,0.001248,1248.36,0.29,0.000000,0.000009,8.98,307.32,138.98
SRS4,3/18/05,2005,8.20,0.00,0.000000,0.000000,0.01,0.00,0.000000,0.000000,0.03,1.00,0.45
SRS5,3/18/05,2005,20.80,48.46,0.000048,0.000679,678.71,0.36,0.000000,0.000011,11.15,134.60,60.87
SRS6,3/18/05,2005,29.00,50.37,0.000050,0.000706,705.55,0.84,0.000001,0.000026,26.02,59.97,27.12
SRS2,3/19/05,2005,0.00,169.10,0.000169,0.002369,2368.58,0.09,0.000000,0.000003,2.79,1878.89,849.67
SRS3,3/19/05,2005,0.00,105.23,0.000105,0.001474,1473.97,0.07,0.000000,0.000002,2.17,1503.30,679.82
SRS4,3/21/05,2005,6.60,31.19,0.000031,0.000437,436.89,0.11,0.000000,0.000003,3.41,283.55,128.23
SRS5,3/21/05,2005,14.10,63.37,0.000063,0.000888,887.61,0.68,0.000001,0.000021,21.06,93.19,42.14
SRS6,3/21/05,2005,24.30,41.99,0.000042,0.000588,588.21,0.51,0.000001,0.000016,15.80,82.34,37.24
SRS2,3/22/05,2005,0.00,124.91,0.000125,0.001750,1749.54,0.08,0.000000,0.000002,2.48,1561.31,706.05
SRS3,3/22/05,2005,0.00,99.06,0.000099,0.001388,1387.55,0.08,0.000000,0.000002,2.48,1238.26,559.96
SRS4,3/24/05,2005,6.40,37.43,0.000037,0.000524,524.30,0.28,0.000000,0.000009,8.67,133.68,60.45
SRS5,3/24/05,2005,20.30,66.02,0.000066,0.000925,924.70,0.80,0.000001,0.000025,24.78,82.52,37.32
SRS6,3/24/05,2005,27.10,39.74,0.000040,0.000557,556.58,0.67,0.000001,0.000021,20.75,59.31,26.82
SRS2,3/25/05,2005,0.00,132.86,0.000133,0.001861,1860.90,0.09,0.000000,0.000003,2.79,1476.17,667.55
SRS3,3/25/05,2005,0.00,112.31,0.000112,0.001573,1573.10,0.07,0.000000,0.000002,2.17,1604.40,725.54
SRS4,3/27/05,2005,6.40,28.93,0.000029,0.000405,405.17,0.26,0.000000,0.000008,8.05,111.25,50.31
SRS6,3/27/05,2005,29.10,35.45,0.000035,0.000497,496.55,0.74,0.000001,0.000023,22.92,47.91,21.66
SRS2,3/28/05,2005,0.00,147.73,0.000148,0.002069,2069.24,0.08,0.000000,0.000002,2.48,1846.61,835.07
SRS3,3/28/05,2005,0.00,118.61,0.000119,0.001661,1661.40,0.04,0.000000,0.000001,1.24,2965.30,1340.96
SRS4,3/30/05,2005,9.10,33.16,0.000033,0.000465,464.53,0.39,0.000000,0.000012,12.08,85.04,38.45
SRS6,3/30/05,2005,31.10,14.56,0.000015,0.000204,203.96,0.98,0.000001,0.000030,30.35,14.86,6.72
SRS2,3/31/05,2005,0.00,130.28,0.000130,0.001825,1824.86,0.13,0.000000,0.000004,4.03,1002.17,453.20
SRS3,3/31/05,2005,0.00,116.23,0.000116,0.001628,1628.03,0.08,0.000000,0.000002,2.48,1452.88,657.02
SRS4,4/2/05,2005,11.20,23.69,0.000024,0.000332,331.76,0.40,0.000000,0.000012,12.39,59.21,26.78
SRS6,4/2/05,2005,31.00,16.18,0.000016,0.000227,226.66,0.75,0.000001,0.000023,23.23,21.58,9.76
SRS2,4/3/05,2005,0.00,156.65,0.000157,0.002194,2194.17,0.11,0.000000,0.000003,3.41,1424.07,643.99
SRS3,4/3/05,2005,0.00,151.80,0.000152,0.002126,2126.19,0.13,0.000000,0.000004,4.03,1167.65,528.03
SRS4,4/5/05,2005,10.70,23.84,0.000024,0.000334,333.93,0.30,0.000000,0.000009,9.29,79.47,35.94
SRS6,4/5/05,2005,29.90,16.74,0.000017,0.000235,234.53,0.68,0.000001,0.000021,21.06,24.62,11.14
SRS2,4/6/05,2005,0.00,156.19,0.000156,0.002188,2187.71,0.11,0.000000,0.000003,3.41,1419.88,642.10
SRS3,4/6/05,2005,0.00,167.13,0.000167,0.002341,2341.05,0.09,0.000000,0.000003,2.79,1857.04,839.79
SRS4,4/8/05,2005,10.30,21.99,0.000022,0.000308,307.94,0.30,0.000000,0.000009,9.29,73.28,33.14
SRS6,4/8/05,2005,30.10,15.86,0.000016,0.000222,222.12,0.61,0.000001,0.000019,18.89,26.00,11.76
SRS2,4/9/05,2005,0.00,171.09,0.000171,0.002397,2396.51,0.11,0.000000,0.000003,3.41,1555.40,703.38
SRS3,4/9/05,2005,0.00,179.08,0.000179,0.002508,2508.30,0.14,0.000000,0.000004,4.34,1279.11,578.44
SRS4,4/11/05,2005,12.50,24.94,0.000025,0.000349,349.32,0.32,0.000000,0.000010,9.91,77.93,35.24
SRS6,4/11/05,2005,30.40,15.95,0.000016,0.000223,223.45,0.58,0.000001,0.000018,17.96,27.51,12.44
SRS2,4/12/05,2005,0.00,192.69,0.000193,0.002699,2698.98,0.11,0.000000,0.000003,3.41,1751.71,792.15
SRS3,4/12/05,2005,0.00,156.31,0.000156,0.002189,2189.49,0.24,0.000000,0.000007,7.43,651.31,294.53
SRS2,4/13/05,2005,0.00,190.84,0.000191,0.002673,2673.14,0.14,0.000000,0.000004,4.34,1363.16,616.45
SRS3,4/13/05,2005,0.00,165.52,0.000166,0.002318,2318.41,0.17,0.000000,0.000005,5.27,973.64,440.30
SRS4,4/14/05,2005,13.80,22.31,0.000022,0.000313,312.54,0.39,0.000000,0.000012,12.08,57.21,25.87
SRS6,4/14/05,2005,31.10,14.22,0.000014,0.000199,199.22,0.59,0.000001,0.000018,18.27,24.11,10.90
SRS2,4/16/05,2005,0.00,88.85,0.000089,0.001245,1244.56,0.24,0.000000,0.000007,7.43,370.22,167.42
SRS3,4/16/05,2005,0.00,0.00,0.000000,0.000000,0.01,0.29,0.000000,0.000009,8.98,0.00,0.00
SRS4,4/17/05,2005,12.80,33.98,0.000034,0.000476,475.90,0.39,0.000000,0.000012,12.08,87.12,39.40
SRS6,4/17/05,2005,29.90,17.79,0.000018,0.000249,249.17,0.66,0.000001,0.000020,20.44,26.95,12.19
SRS2,4/19/05,2005,0.00,122.25,0.000122,0.001712,1712.31,0.15,0.000000,0.000005,4.65,814.98,368.55
SRS3,4/19/05,2005,0.00,0.00,0.000000,0.000000,0.01,0.15,0.000000,0.000005,4.65,0.01,0.00
SRS4,4/19/05,2005,11.50,26.75,0.000027,0.000375,374.74,0.40,0.000000,0.000012,12.39,66.89,30.25
SRS6,4/19/05,2005,29.00,20.62,0.000021,0.000289,288.80,0.80,0.000001,0.000025,24.78,25.77,11.65
SRS2,4/22/05,2005,0.00,122.93,0.000123,0.001722,1721.94,0.16,0.000000,0.000005,4.96,768.34,347.46
SRS3,4/22/05,2005,0.00,0.00,0.000000,0.000000,0.01,0.34,0.000000,0.000011,10.53,0.00,0.00
SRS4,4/22/05,2005,12.30,36.96,0.000037,0.000518,517.67,0.20,0.000000,0.000006,6.19,184.79,83.57
SRS5,4/22/05,2005,27.40,34.57,0.000035,0.000484,484.15,0.53,0.000001,0.000016,16.42,65.22,29.49
SRS6,4/22/05,2005,30.20,30.49,0.000030,0.000427,427.05,0.57,0.000001,0.000018,17.66,53.49,24.19
SRS2,4/24/05,2005,0.00,119.49,0.000119,0.001674,1673.65,0.17,0.000000,0.000005,5.27,702.86,317.85
SRS3,4/25/05,2005,0.00,74.38,0.000074,0.001042,1041.87,0.23,0.000000,0.000007,7.12,323.40,146.25
SRS4,4/25/05,2005,16.80,35.17,0.000035,0.000493,492.63,0.15,0.000000,0.000005,4.65,234.47,106.03
SRS5,4/25/05,2005,30.30,35.48,0.000035,0.000497,496.93,1.02,0.000001,0.000032,31.59,34.78,15.73
SRS6,4/25/05,2005,32.20,31.57,0.000032,0.000442,442.23,0.72,0.000001,0.000022,22.30,43.85,19.83
SRS3,4/28/05,2005,0.00,76.86,0.000077,0.001077,1076.51,0.68,0.000001,0.000021,21.06,113.02,51.11
SRS4,4/28/05,2005,20.90,34.77,0.000035,0.000487,486.95,0.27,0.000000,0.000008,8.36,128.76,58.23
SRS5,4/28/05,2005,30.40,50.57,0.000051,0.000708,708.31,1.40,0.000001,0.000043,43.36,36.12,16.33
SRS6,4/28/05,2005,32.30,30.35,0.000030,0.000425,425.06,0.71,0.000001,0.000022,21.99,42.74,19.33
SRS3,5/1/05,2005,0.00,89.64,0.000090,0.001256,1255.56,0.68,0.000001,0.000021,21.06,131.82,59.61
SRS4,5/1/05,2005,19.30,38.32,0.000038,0.000537,536.80,0.39,0.000000,0.000012,12.08,98.27,44.44
SRS6,5/1/05,2005,32.20,31.73,0.000032,0.000444,444.50,0.88,0.000001,0.000027,27.26,36.06,16.31
SRS3,5/4/05,2005,0.00,68.30,0.000068,0.000957,956.64,0.47,0.000000,0.000015,14.56,145.31,65.71
SRS4,5/4/05,2005,18.90,36.45,0.000036,0.000511,510.60,0.28,0.000000,0.000009,8.67,130.19,58.87
SRS6,5/4/05,2005,33.00,31.25,0.000031,0.000438,437.76,0.74,0.000001,0.000023,22.92,42.23,19.10
SRS3,5/7/05,2005,0.00,71.55,0.000072,0.001002,1002.14,0.62,0.000001,0.000019,19.20,115.40,52.18
SRS4,5/7/05,2005,19.30,35.57,0.000036,0.000498,498.20,0.21,0.000000,0.000007,6.50,169.37,76.59
SRS6,5/7/05,2005,33.40,29.31,0.000029,0.000410,410.49,0.65,0.000001,0.000020,20.13,45.09,20.39
SRS3,5/10/05,2005,0.00,89.48,0.000089,0.001253,1253.37,1.47,0.000001,0.000046,45.53,60.87,27.53
SRS4,5/10/05,2005,19.00,39.59,0.000040,0.000554,554.47,0.40,0.000000,0.000012,12.39,98.96,44.75
SRS6,5/10/05,2005,32.90,27.58,0.000028,0.000386,386.30,0.62,0.000001,0.000019,19.20,44.48,20.12
SRS3,5/13/05,2005,0.00,95.53,0.000096,0.001338,1338.14,0.77,0.000001,0.000024,23.85,124.07,56.11
SRS4,5/13/05,2005,19.00,34.66,0.000035,0.000486,485.52,0.27,0.000000,0.000008,8.36,128.38,58.06
SRS6,5/13/05,2005,33.50,23.45,0.000023,0.000328,328.44,0.43,0.000000,0.000013,13.32,54.53,24.66
SRS3,5/16/05,2005,0.00,70.45,0.000070,0.000987,986.75,0.64,0.000001,0.000020,19.82,110.07,49.78
SRS4,5/16/05,2005,18.40,35.17,0.000035,0.000493,492.67,0.30,0.000000,0.000009,9.29,117.24,53.02
SRS6,5/16/05,2005,33.50,24.21,0.000024,0.000339,339.15,0.54,0.000001,0.000017,16.73,44.84,20.28
SRS4,5/18/05,2005,17.60,36.71,0.000037,0.000514,514.21,0.33,0.000000,0.000010,10.22,111.25,50.31
SRS6,5/18/05,2005,30.50,33.77,0.000034,0.000473,472.96,0.93,0.000001,0.000029,28.81,36.31,16.42
SRS3,5/19/05,2005,0.00,58.82,0.000059,0.000824,823.93,0.73,0.000001,0.000023,22.61,80.58,36.44
SRS4,5/21/05,2005,17.00,37.57,0.000038,0.000526,526.29,0.68,0.000001,0.000021,21.06,55.25,24.99
SRS6,5/21/05,2005,29.50,30.05,0.000030,0.000421,420.84,0.69,0.000001,0.000021,21.37,43.54,19.69
SRS3,5/22/05,2005,0.00,57.21,0.000057,0.000801,801.30,0.46,0.000000,0.000014,14.25,124.36,56.24
SRS3,5/23/05,2005,0.00,62.01,0.000062,0.000869,868.56,0.51,0.000001,0.000016,15.80,121.59,54.98
SRS4,5/24/05,2005,17.30,35.48,0.000035,0.000497,496.97,0.57,0.000001,0.000018,17.66,62.25,28.15
SRS6,5/24/05,2005,32.40,23.44,0.000023,0.000328,328.27,0.60,0.000001,0.000019,18.58,39.06,17.66
SRS1,5/26/05,2005,0.00,35.40,0.000035,0.000496,495.85,0.49,0.000000,0.000015,15.18,72.24,32.67
SRS3,5/26/05,2005,0.00,57.95,0.000058,0.000812,811.65,0.72,0.000001,0.000022,22.30,80.48,36.39
SRS4,5/27/05,2005,20.70,34.35,0.000034,0.000481,481.10,0.58,0.000001,0.000018,17.96,59.22,26.78
SRS6,5/27/05,2005,33.10,32.61,0.000033,0.000457,456.77,1.04,0.000001,0.000032,32.21,31.36,14.18
SRS1,5/29/05,2005,0.00,41.15,0.000041,0.000576,576.42,0.47,0.000000,0.000015,14.56,87.56,39.60
SRS3,5/29/05,2005,0.00,37.60,0.000038,0.000527,526.69,0.34,0.000000,0.000011,10.53,110.59,50.01
SRS4,5/30/05,2005,23.60,36.09,0.000036,0.000505,505.48,0.53,0.000001,0.000016,16.42,68.09,30.79
SRS6,5/30/05,2005,33.60,30.08,0.000030,0.000421,421.27,1.09,0.000001,0.000034,33.76,27.59,12.48
SRS1,6/1/05,2005,0.00,40.90,0.000041,0.000573,572.87,0.42,0.000000,0.000013,13.01,97.38,44.04
SRS3,6/1/05,2005,0.00,52.53,0.000053,0.000736,735.72,0.90,0.000001,0.000028,27.88,58.36,26.39
SRS4,6/2/05,2005,23.20,42.01,0.000042,0.000588,588.49,0.56,0.000001,0.000017,17.35,75.03,33.93
SRS6,6/2/05,2005,33.80,48.24,0.000048,0.000676,675.66,1.59,0.000002,0.000049,49.25,30.34,13.72
SRS1,6/4/05,2005,0.00,49.96,0.000050,0.000700,699.78,0.42,0.000000,0.000013,13.01,118.95,53.79
SRS3,6/4/05,2005,0.00,54.97,0.000055,0.000770,769.91,0.77,0.000001,0.000024,23.85,71.38,32.28
SRS4,6/5/05,2005,22.20,36.14,0.000036,0.000506,506.27,0.67,0.000001,0.000021,20.75,53.95,24.40
SRS6,6/5/05,2005,32.10,31.19,0.000031,0.000437,436.82,1.12,0.000001,0.000035,34.69,27.84,12.59
SRS1,6/7/05,2005,0.00,50.97,0.000051,0.000714,713.98,0.00,0.000000,0.000000,0.03,50973.00,23050.91
SRS3,6/7/05,2005,0.00,50.98,0.000051,0.000714,714.13,0.60,0.000001,0.000019,18.58,84.97,38.43
SRS4,6/8/05,2005,19.10,26.16,0.000026,0.000366,366.37,0.27,0.000000,0.000008,8.36,96.87,43.81
SRS6,6/8/05,2005,29.70,66.21,0.000066,0.000927,927.43,0.92,0.000001,0.000028,28.50,71.97,32.55
SRS1,6/10/05,2005,0.00,41.57,0.000042,0.000582,582.31,0.53,0.000001,0.000016,16.42,78.44,35.47
SRS3,6/10/05,2005,0.00,54.82,0.000055,0.000768,767.88,0.48,0.000000,0.000015,14.87,114.21,51.65
SRS4,6/11/05,2005,12.80,30.41,0.000030,0.000426,425.88,0.79,0.000001,0.000024,24.47,38.49,17.40
SRS6,6/11/05,2005,23.40,47.81,0.000048,0.000670,669.66,0.00,0.000000,0.000000,0.03,47809.00,21620.09
SRS1,6/13/05,2005,0.00,33.97,0.000034,0.000476,475.82,0.46,0.000000,0.000014,14.25,73.85,33.40
SRS3,6/13/05,2005,0.00,44.41,0.000044,0.000622,622.09,0.46,0.000000,0.000014,14.25,96.55,43.66
SRS4,6/14/05,2005,10.40,32.38,0.000032,0.000454,453.60,0.94,0.000001,0.000029,29.12,34.45,15.58
SRS6,6/14/05,2005,24.40,33.81,0.000034,0.000474,473.51,0.72,0.000001,0.000022,22.30,46.95,21.23
SRS1,6/16/05,2005,0.00,35.30,0.000035,0.000494,494.39,0.52,0.000001,0.000016,16.11,67.88,30.70
SRS3,6/16/05,2005,0.00,46.66,0.000047,0.000654,653.57,0.48,0.000000,0.000015,14.87,97.21,43.96
SRS4,6/17/05,2005,9.10,29.25,0.000029,0.000410,409.76,0.76,0.000001,0.000024,23.54,38.49,17.41
SRS6,6/17/05,2005,26.00,28.72,0.000029,0.000402,402.25,0.62,0.000001,0.000019,19.20,46.32,20.95
SRS1,6/19/05,2005,0.00,35.06,0.000035,0.000491,491.11,0.46,0.000000,0.000014,14.25,76.22,34.47
SRS3,6/19/05,2005,0.00,44.41,0.000044,0.000622,622.04,0.49,0.000000,0.000015,15.18,90.63,40.98
SRS4,6/20/05,2005,8.30,29.38,0.000029,0.000412,411.51,0.52,0.000001,0.000016,16.11,56.50,25.55
SRS6,6/20/05,2005,28.30,28.93,0.000029,0.000405,405.19,0.00,0.000000,0.000000,0.03,28928.00,13081.76
SRS1,6/22/05,2005,0.00,38.23,0.000038,0.000535,535.45,0.42,0.000000,0.000013,13.01,91.02,41.16
SRS3,6/22/05,2005,0.00,35.49,0.000035,0.000497,497.16,0.44,0.000000,0.000014,13.63,80.67,36.48
SRS4,6/23/05,2005,5.80,29.94,0.000030,0.000419,419.31,0.57,0.000001,0.000018,17.66,52.52,23.75
SRS6,6/23/05,2005,20.00,29.06,0.000029,0.000407,406.99,0.41,0.000000,0.000013,12.70,70.87,32.05
SRS1,6/25/05,2005,0.00,32.55,0.000033,0.000456,455.93,0.45,0.000000,0.000014,13.94,72.33,32.71
SRS3,6/25/05,2005,0.00,25.95,0.000026,0.000364,363.52,0.41,0.000000,0.000013,12.70,63.30,28.63
SRS4,6/26/05,2005,2.90,27.30,0.000027,0.000382,382.42,0.46,0.000000,0.000014,14.25,59.35,26.84
SRS6,6/26/05,2005,20.40,25.71,0.000026,0.000360,360.11,0.56,0.000001,0.000017,17.35,45.91,20.76
SRS1,6/28/05,2005,0.00,36.04,0.000036,0.000505,504.80,0.60,0.000001,0.000019,18.58,60.07,27.16
SRS3,6/28/05,2005,0.00,24.54,0.000025,0.000344,343.77,0.45,0.000000,0.000014,13.94,54.54,24.66
SRS4,6/28/05,2005,1.80,26.56,0.000027,0.000372,372.05,0.41,0.000000,0.000013,12.70,64.79,29.30
SRS6,6/28/05,2005,13.90,25.47,0.000025,0.000357,356.69,0.00,0.000000,0.000000,0.03,25465.00,11515.73
SRS1,6/30/05,2005,0.00,47.52,0.000048,0.000666,665.56,0.69,0.000001,0.000021,21.37,68.86,31.14
SRS3,6/30/05,2005,0.00,23.28,0.000023,0.000326,326.01,0.49,0.000000,0.000015,15.18,47.50,21.48
SRS4,7/1/05,2005,0.70,28.55,0.000029,0.000400,399.89,0.34,0.000000,0.000011,10.53,83.97,37.97
SRS5,7/2/05,2005,4.20,49.00,0.000049,0.000686,686.39,0.49,0.000000,0.000015,15.18,100.01,45.22
SRS6,7/2/05,2005,10.10,24.84,0.000025,0.000348,347.89,0.71,0.000001,0.000022,21.99,34.98,15.82
SRS1,7/3/05,2005,0.00,29.57,0.000030,0.000414,414.24,0.16,0.000000,0.000005,4.96,184.84,83.59
SRS2,7/3/05,2005,0.00,61.05,0.000061,0.000855,855.14,0.21,0.000000,0.000007,6.50,290.72,131.47
SRS3,7/3/05,2005,0.00,26.68,0.000027,0.000374,373.71,0.19,0.000000,0.000006,5.89,140.42,63.50
SRS5,7/5/05,2005,1.80,39.94,0.000040,0.000559,559.40,0.41,0.000000,0.000013,12.70,97.41,44.05
SRS6,7/5/05,2005,12.70,27.47,0.000027,0.000385,384.77,0.91,0.000001,0.000028,28.19,30.19,13.65
SRS1,7/6/05,2005,0.00,43.20,0.000043,0.000605,605.03,0.30,0.000000,0.000009,9.29,143.98,65.11
SRS2,7/6/05,2005,0.00,41.00,0.000041,0.000574,574.24,0.16,0.000000,0.000005,4.96,256.23,115.87
SRS3,7/6/05,2005,0.00,32.89,0.000033,0.000461,460.75,0.19,0.000000,0.000006,5.89,173.13,78.29
SRS5,7/8/05,2005,4.80,34.71,0.000035,0.000486,486.24,0.68,0.000001,0.000021,21.06,51.05,23.09
SRS6,7/8/05,2005,15.10,32.77,0.000033,0.000459,459.07,0.75,0.000001,0.000023,23.23,43.70,19.76
SRS1,7/9/05,2005,0.00,34.41,0.000034,0.000482,481.92,0.19,0.000000,0.000006,5.89,181.08,81.89
SRS2,7/9/05,2005,0.00,43.88,0.000044,0.000615,614.60,0.17,0.000000,0.000005,5.27,258.11,116.72
SRS3,7/9/05,2005,0.00,33.72,0.000034,0.000472,472.36,0.21,0.000000,0.000007,6.50,160.59,72.62
SRS5,7/11/05,2005,7.60,0.00,0.000000,0.000000,0.01,0.45,0.000000,0.000014,13.94,0.00,0.00
SRS6,7/11/05,2005,17.00,25.31,0.000025,0.000355,354.55,0.76,0.000001,0.000024,23.54,33.31,15.06
SRS1,7/12/05,2005,0.00,23.45,0.000023,0.000328,328.48,0.17,0.000000,0.000005,5.27,137.95,62.38
SRS2,7/12/05,2005,0.00,37.94,0.000038,0.000531,531.43,0.17,0.000000,0.000005,5.27,223.18,100.92
SRS3,7/12/05,2005,0.00,33.25,0.000033,0.000466,465.70,0.19,0.000000,0.000006,5.89,174.99,79.13
SRS5,7/14/05,2005,4.50,26.11,0.000026,0.000366,365.76,0.84,0.000001,0.000026,26.02,31.09,14.06
SRS6,7/14/05,2005,17.90,42.19,0.000042,0.000591,590.94,0.84,0.000001,0.000026,26.02,50.23,22.71
SRS1,7/15/05,2005,0.00,23.41,0.000023,0.000328,327.85,0.18,0.000000,0.000006,5.58,130.03,58.80
SRS2,7/15/05,2005,0.00,36.11,0.000036,0.000506,505.81,0.19,0.000000,0.000006,5.89,190.06,85.95
SRS3,7/15/05,2005,0.00,37.32,0.000037,0.000523,522.71,0.20,0.000000,0.000006,6.19,186.59,84.38
SRS1,7/17/05,2005,0.00,25.43,0.000025,0.000356,356.16,0.22,0.000000,0.000007,6.81,115.58,52.27
SRS2,7/17/05,2005,0.00,35.44,0.000035,0.000496,496.41,0.21,0.000000,0.000007,6.50,168.76,76.32
SRS3,7/17/05,2005,0.00,33.42,0.000033,0.000468,468.06,0.20,0.000000,0.000006,6.19,167.08,75.56
SRS5,7/17/05,2005,4.20,62.00,0.000062,0.000868,868.49,0.00,0.000000,0.000000,0.03,62004.00,28039.32
SRS6,7/17/05,2005,20.90,31.95,0.000032,0.000448,447.52,0.62,0.000001,0.000019,19.20,51.53,23.30
SRS5,7/20/05,2005,6.10,33.53,0.000034,0.000470,469.67,0.49,0.000000,0.000015,15.18,68.43,30.95
SRS6,7/20/05,2005,17.80,41.09,0.000041,0.000576,575.55,0.61,0.000001,0.000019,18.89,67.36,30.46
SRS1,7/21/05,2005,0.00,28.31,0.000028,0.000396,396.48,0.12,0.000000,0.000004,3.72,235.88,106.67
SRS2,7/21/05,2005,0.00,65.15,0.000065,0.000913,912.61,0.08,0.000000,0.000002,2.48,814.43,368.30
SRS3,7/21/05,2005,0.00,40.06,0.000040,0.000561,561.16,0.31,0.000000,0.000010,9.60,129.24,58.44
