Site,Date,Year,Salinity,TN_um_L,TN_moles_L,TN_g_L,TN_ug_L,TP_um_L,TP_moles_L,TP_g_L,TP_ug_L,NP_molar,NP_mass
SRS1,12/21/00,2000,0.00,44.70,0.000045,0.000626,626.06,0.26,0.000000,0.000008,8.05,171.91,77.74
SRS4,12/21/00,2000,1.00,0.00,0.000000,0.000000,0.01,0.00,0.000000,0.000000,0.03,1.00,0.45
SRS5,12/21/00,2000,9.00,36.33,0.000036,0.000509,508.85,0.13,0.000000,0.000004,4.03,279.45,126.37
SRS6,12/21/00,2000,18.00,19.37,0.000019,0.000271,271.32,0.46,0.000000,0.000014,14.25,42.11,19.04
SRS2,12/22/00,2000,0.00,48.51,0.000049,0.000679,679.41,0.12,0.000000,0.000004,3.72,404.21,182.79
SRS3,12/22/00,2000,0.00,37.59,0.000038,0.000526,526.45,0.12,0.000000,0.000004,3.72,313.21,141.64
SRS1,12/24/00,2000,0.00,45.19,0.000045,0.000633,632.98,0.75,0.000001,0.000023,23.23,60.25,27.25
SRS4,12/24/00,2000,1.00,61.73,0.000062,0.000865,864.65,0.33,0.000000,0.000010,10.22,187.06,84.59
SRS5,12/24/00,2000,8.00,36.11,0.000036,0.000506,505.82,0.14,0.000000,0.000004,4.34,257.94,116.65
SRS6,12/24/00,2000,15.00,23.58,0.000024,0.000330,330.26,0.26,0.000000,0.000008,8.05,90.68,41.01
SRS2,12/25/00,2000,0.00,41.12,0.000041,0.000576,576.02,0.12,0.000000,0.000004,3.72,342.70,154.98
SRS3,12/25/00,2000,0.00,48.30,0.000048,0.000676,676.50,0.10,0.000000,0.000003,3.10,482.97,218.41
SRS1,12/27/00,2000,0.00,35.11,0.000035,0.000492,491.74,0.47,0.000000,0.000015,14.56,74.70,33.78
SRS4,12/27/00,2000,1.00,64.50,0.000065,0.000903,903.45,0.18,0.000000,0.000006,5.58,358.33,162.04
SRS5,12/27/00,2000,9.00,38.67,0.000039,0.000542,541.62,0.14,0.000000,0.000004,4.34,276.20,124.90
SRS6,12/27/00,2000,16.00,21.83,0.000022,0.000306,305.80,0.41,0.000000,0.000013,12.70,53.25,24.08
