SITENAME,DATE,YEAR,MONTH,TN_uM_L,TN_moles_L,TN_g_L,TN_ug_L,TP_uM_L,TP_moles_L,TP_g_L,TP_ug_L,NP
TSph3,1/4/06,2006,January,20.00,0.00,0.00,280.20,0.19,0.00,0.00,5.89,47.61
TSph7,1/5/06,2006,January,48.32,0.00,0.00,676.76,0.45,0.00,0.00,13.94,48.55
TSph3,1/7/06,2006,January,26.25,0.00,0.00,367.67,0.17,0.00,0.00,5.27,69.83
TSph7,1/8/06,2006,January,35.77,0.00,0.00,501.07,0.46,0.00,0.00,14.25,35.17
TSph3,1/9/06,2006,January,38.51,0.00,0.00,539.38,0.20,0.00,0.00,6.19,87.07
TSph7,1/11/06,2006,January,32.41,0.00,0.00,453.91,0.36,0.00,0.00,11.15,40.71
TSph3,1/12/06,2006,January,30.51,0.00,0.00,427.31,0.18,0.00,0.00,5.58,76.64
TSph7,1/14/06,2006,January,33.16,0.00,0.00,464.50,0.43,0.00,0.00,13.32,34.88
TSph3,1/15/06,2006,January,29.90,0.00,0.00,418.75,0.18,0.00,0.00,5.58,75.11
TSph10,1/17/06,2006,January,18.13,0.00,0.00,253.97,0.29,0.00,0.00,8.83,28.77
TSph7,1/17/06,2006,January,29.79,0.00,0.00,417.24,0.33,0.00,0.00,10.22,40.82
TSph11,1/17/06,2006,January,9.74,0.00,0.00,136.37,0.41,0.00,0.00,12.82,10.63
TSph3,1/18/06,2006,January,35.33,0.00,0.00,494.90,0.20,0.00,0.00,6.19,79.89
TSph9,1/18/06,2006,January,29.29,0.00,0.00,410.32,0.23,0.00,0.00,7.12,57.60
TSph7,1/20/06,2006,January,33.82,0.00,0.00,473.77,0.36,0.00,0.00,11.15,42.49
TSph3,1/21/06,2006,January,31.02,0.00,0.00,434.47,0.19,0.00,0.00,5.89,73.83
TSph7,1/23/06,2006,January,60.31,0.00,0.00,844.73,0.58,0.00,0.00,17.96,47.02
TSph3,1/24/06,2006,January,30.88,0.00,0.00,432.56,0.19,0.00,0.00,5.89,73.50
TSph7,1/26/06,2006,January,33.73,0.00,0.00,472.41,0.62,0.00,0.00,19.20,24.60
TSph3,1/27/06,2006,January,26.35,0.00,0.00,369.01,0.18,0.00,0.00,5.58,66.19
TSph7,1/29/06,2006,January,26.75,0.00,0.00,374.62,0.60,0.00,0.00,18.58,20.16
TSph3,1/30/06,2006,January,28.77,0.00,0.00,402.94,0.19,0.00,0.00,5.89,68.47
TSph7,1/31/06,2006,January,27.95,0.00,0.00,391.55,0.36,0.00,0.00,11.15,35.11
TSph3,2/2/06,2006,February,28.45,0.00,0.00,398.46,0.20,0.00,0.00,6.19,64.32
TSph7,2/3/06,2006,February,39.47,0.00,0.00,552.79,0.46,0.00,0.00,14.25,38.80
TSph3,2/5/06,2006,February,32.93,0.00,0.00,461.25,0.29,0.00,0.00,8.98,51.35
TSph7,2/6/06,2006,February,32.25,0.00,0.00,451.66,0.41,0.00,0.00,12.70,35.57
TSph7,2/7/06,2006,February,29.19,0.00,0.00,408.92,0.71,0.00,0.00,21.99,18.59
TSph3,2/8/06,2006,February,35.40,0.00,0.00,495.90,0.28,0.00,0.00,8.67,57.18
TSph7,2/10/06,2006,February,54.72,0.00,0.00,766.49,0.77,0.00,0.00,23.85,32.14
TSph3,2/11/06,2006,February,35.72,0.00,0.00,500.26,0.43,0.00,0.00,13.32,37.56
TSph7,2/13/06,2006,February,72.98,0.00,0.00,1022.19,1.00,0.00,0.00,30.97,33.00
TSph3,2/14/06,2006,February,38.46,0.00,0.00,538.65,0.22,0.00,0.00,6.81,79.05
TSph10,2/14/06,2006,February,31.24,0.00,0.00,437.63,0.29,0.00,0.00,9.11,48.06
TSph11,2/14/06,2006,February,8.54,0.00,0.00,119.61,0.39,0.00,0.00,12.20,9.80
TSph3,2/15/06,2006,February,46.40,0.00,0.00,649.91,0.28,0.00,0.00,8.67,74.94
TSph9,2/15/06,2006,February,37.63,0.00,0.00,527.08,0.47,0.00,0.00,14.43,36.52
TSph7,2/16/06,2006,February,60.64,0.00,0.00,849.41,0.65,0.00,0.00,20.13,42.19
TSph3,2/18/06,2006,February,42.15,0.00,0.00,590.41,0.17,0.00,0.00,5.27,112.13
TSph7,2/19/06,2006,February,74.55,0.00,0.00,1044.28,0.69,0.00,0.00,21.37,48.86
TSph3,2/21/06,2006,February,38.83,0.00,0.00,543.89,0.17,0.00,0.00,5.27,103.29
TSph7,2/22/06,2006,February,50.95,0.00,0.00,713.66,0.71,0.00,0.00,21.99,32.45
TSph3,2/24/06,2006,February,35.94,0.00,0.00,503.34,0.15,0.00,0.00,4.65,108.34
TSph7,2/25/06,2006,February,46.48,0.00,0.00,650.98,0.41,0.00,0.00,12.70,51.26
TSph3,2/27/06,2006,February,63.66,0.00,0.00,891.71,0.17,0.00,0.00,5.27,169.35
TSph7,2/28/06,2006,February,37.39,0.00,0.00,523.72,0.35,0.00,0.00,10.84,48.31
TSph3,3/2/06,2006,March,41.26,0.00,0.00,577.96,0.17,0.00,0.00,5.27,109.76
TSph7,3/3/06,2006,March,37.17,0.00,0.00,520.68,0.43,0.00,0.00,13.32,39.09
TSph3,3/5/06,2006,March,48.96,0.00,0.00,685.77,0.22,0.00,0.00,6.81,100.64
TSph7,3/6/06,2006,March,38.61,0.00,0.00,540.78,0.59,0.00,0.00,18.27,29.59
TSph10,3/7/06,2006,March,64.45,0.00,0.00,902.79,0.57,0.00,0.00,17.59,51.31
TSph11,3/7/06,2006,March,9.43,0.00,0.00,132.13,0.86,0.00,0.00,26.51,4.98
TSph3,3/8/06,2006,March,36.62,0.00,0.00,512.94,0.18,0.00,0.00,5.58,92.00
TSph9,3/8/06,2006,March,33.00,0.00,0.00,462.23,0.46,0.00,0.00,14.31,32.30
TSph7,3/9/06,2006,March,32.82,0.00,0.00,459.75,0.44,0.00,0.00,13.63,33.73
TSph3,3/11/06,2006,March,31.54,0.00,0.00,441.82,0.22,0.00,0.00,6.81,64.84
TSph7,3/12/06,2006,March,39.45,0.00,0.00,552.62,0.44,0.00,0.00,13.63,40.55
TSph3,3/14/06,2006,March,34.89,0.00,0.00,488.66,0.27,0.00,0.00,8.36,58.43
TSph7,3/15/06,2006,March,36.24,0.00,0.00,507.67,0.49,0.00,0.00,15.18,33.45
TSph3,3/16/06,2006,March,40.53,0.00,0.00,567.70,0.22,0.00,0.00,6.81,83.31
TSph7,3/18/06,2006,March,24.51,0.00,0.00,343.27,1.07,0.00,0.00,33.14,10.36
TSph7,3/21/06,2006,March,25.59,0.00,0.00,358.37,0.55,0.00,0.00,17.04,21.04
TSph7,3/22/06,2006,March,27.60,0.00,0.00,386.54,0.48,0.00,0.00,14.87,26.00
TSph7,3/25/06,2006,March,28.49,0.00,0.00,399.00,0.33,0.00,0.00,10.22,39.04
TSph7,3/28/06,2006,March,26.04,0.00,0.00,364.74,0.31,0.00,0.00,9.60,37.99
TSph7,3/31/06,2006,March,23.60,0.00,0.00,330.61,0.27,0.00,0.00,8.36,39.53
TSph7,4/3/06,2006,April,28.69,0.00,0.00,401.90,0.27,0.00,0.00,8.36,48.06
TSph7,4/6/06,2006,April,24.26,0.00,0.00,339.74,0.28,0.00,0.00,8.67,39.17
TSph7,4/9/06,2006,April,24.03,0.00,0.00,336.53,0.27,0.00,0.00,8.36,40.24
TSph7,4/12/06,2006,April,28.37,0.00,0.00,397.43,0.30,0.00,0.00,9.29,42.77
TSph7,4/15/06,2006,April,27.82,0.00,0.00,389.65,0.34,0.00,0.00,10.53,37.00
TSph7,4/18/06,2006,April,23.78,0.00,0.00,333.03,0.34,0.00,0.00,10.53,31.62
TSph7,4/21/06,2006,April,24.81,0.00,0.00,347.50,0.35,0.00,0.00,10.84,32.05
TSph7,4/24/06,2006,April,26.27,0.00,0.00,367.91,0.43,0.00,0.00,13.32,27.62
TSph7,4/25/06,2006,April,29.13,0.00,0.00,408.07,0.45,0.00,0.00,13.94,29.28
TSph10,4/26/06,2006,April,21.95,0.00,0.00,307.44,0.35,0.00,0.00,10.90,28.20
TSph11,4/26/06,2006,April,5.89,0.00,0.00,82.50,0.48,0.00,0.00,14.90,5.54
TSph9,4/27/06,2006,April,26.63,0.00,0.00,372.94,0.33,0.00,0.00,10.10,36.93
TSph7,4/28/06,2006,April,55.52,0.00,0.00,777.67,0.81,0.00,0.00,25.09,31.00
TSph7,5/1/06,2006,May,55.52,0.00,0.00,777.60,1.20,0.00,0.00,37.17,20.92
TSph7,5/4/06,2006,May,53.60,0.00,0.00,750.76,0.66,0.00,0.00,20.44,36.72
TSph7,5/7/06,2006,May,51.70,0.00,0.00,724.19,0.45,0.00,0.00,13.94,51.96
TSph7,5/10/06,2006,May,52.09,0.00,0.00,729.67,0.60,0.00,0.00,18.58,39.26
TSph7,5/13/06,2006,May,51.49,0.00,0.00,721.18,0.82,0.00,0.00,25.40,28.39
TSph7,5/16/06,2006,May,49.83,0.00,0.00,697.94,0.41,0.00,0.00,12.70,54.96
TSph7,5/19/06,2006,May,56.11,0.00,0.00,785.90,0.45,0.00,0.00,13.94,56.38
TSph7,5/22/06,2006,May,54.44,0.00,0.00,762.50,0.52,0.00,0.00,16.11,47.34
TSph7,5/24/06,2006,May,58.37,0.00,0.00,817.59,0.52,0.00,0.00,16.11,50.76
TSph7,5/27/06,2006,May,24.91,0.00,0.00,348.96,0.34,0.00,0.00,10.53,33.14
TSph7,5/30/06,2006,May,30.31,0.00,0.00,424.59,0.27,0.00,0.00,8.36,50.77
TSph11,5/30/06,2006,May,7.37,0.00,0.00,103.29,0.29,0.00,0.00,9.04,11.42
TSph10,5/30/06,2006,May,26.58,0.00,0.00,372.29,0.46,0.00,0.00,14.25,26.13
TSph9,5/31/06,2006,May,26.58,0.00,0.00,372.24,0.16,0.00,0.00,5.02,74.18
TSph7,6/2/06,2006,June,34.29,0.00,0.00,480.31,0.65,0.00,0.00,20.13,23.86
TSph7,6/5/06,2006,June,29.69,0.00,0.00,415.83,0.34,0.00,0.00,10.53,39.49
TSph7,6/8/06,2006,June,28.35,0.00,0.00,397.13,0.36,0.00,0.00,11.15,35.61
TSph7,6/11/06,2006,June,31.00,0.00,0.00,434.26,0.93,0.00,0.00,28.81,15.08
TSph7,6/14/06,2006,June,32.08,0.00,0.00,449.39,0.59,0.00,0.00,18.27,24.59
TSph7,6/20/06,2006,June,71.24,0.00,0.00,997.86,0.14,0.00,0.00,4.34,230.11
TSph10,6/21/06,2006,June,25.12,0.00,0.00,351.84,0.30,0.00,0.00,9.20,38.25
TSph11,6/21/06,2006,June,8.34,0.00,0.00,116.76,0.38,0.00,0.00,11.89,9.82
TSph9,6/23/06,2006,June,26.78,0.00,0.00,375.15,0.22,0.00,0.00,6.91,54.31
TSph7,6/23/06,2006,June,56.74,0.00,0.00,794.79,0.40,0.00,0.00,12.39,64.15
TSph7,6/26/06,2006,June,53.10,0.00,0.00,743.77,0.35,0.00,0.00,10.84,68.61
TSph7,6/29/06,2006,June,58.04,0.00,0.00,812.90,0.37,0.00,0.00,11.46,70.93
TSph7,7/2/06,2006,July,62.10,0.00,0.00,869.86,0.36,0.00,0.00,11.15,78.01
TSph3,7/3/06,2006,July,29.81,0.00,0.00,417.53,0.29,0.00,0.00,8.98,46.48
TSph10,7/5/06,2006,July,29.44,0.00,0.00,412.37,0.27,0.00,0.00,8.24,50.05
TSph7,7/5/06,2006,July,63.39,0.00,0.00,887.90,0.36,0.00,0.00,11.15,79.63
TSph11,7/5/06,2006,July,10.04,0.00,0.00,140.67,0.53,0.00,0.00,16.32,8.62
TSph3,7/6/06,2006,July,25.19,0.00,0.00,352.77,0.22,0.00,0.00,6.81,51.77
TSph9,7/6/06,2006,July,27.46,0.00,0.00,384.60,0.26,0.00,0.00,8.15,47.21
TSph7,7/8/06,2006,July,59.90,0.00,0.00,838.98,0.49,0.00,0.00,15.18,55.28
TSph3,7/9/06,2006,July,21.59,0.00,0.00,302.36,0.23,0.00,0.00,7.12,42.44
TSph7,7/11/06,2006,July,58.96,0.00,0.00,825.91,0.52,0.00,0.00,16.11,51.28
TSph3,7/12/06,2006,July,21.15,0.00,0.00,296.25,0.21,0.00,0.00,6.50,45.54
TSph7,7/14/06,2006,July,55.03,0.00,0.00,770.78,0.46,0.00,0.00,14.25,54.10
TSph3,7/15/06,2006,July,17.66,0.00,0.00,247.36,0.21,0.00,0.00,6.50,38.03
TSph7,7/17/06,2006,July,54.81,0.00,0.00,767.72,0.53,0.00,0.00,16.42,46.77
TSph3,7/18/06,2006,July,20.00,0.00,0.00,280.17,0.21,0.00,0.00,6.50,43.07
TSph3,7/21/06,2006,July,20.51,0.00,0.00,287.26,0.18,0.00,0.00,5.58,51.52
TSph7,7/23/06,2006,July,56.12,0.00,0.00,786.04,0.28,0.00,0.00,8.67,90.63
TSph3,7/24/06,2006,July,15.91,0.00,0.00,222.84,0.26,0.00,0.00,8.05,27.67
TSph7,7/26/06,2006,July,48.19,0.00,0.00,674.98,0.17,0.00,0.00,5.27,128.19
TSph3,7/26/06,2006,July,15.33,0.00,0.00,214.73,0.25,0.00,0.00,7.74,27.73
TSph3,7/27/06,2006,July,16.62,0.00,0.00,232.77,0.20,0.00,0.00,6.19,37.57
TSph7,7/29/06,2006,July,48.72,0.00,0.00,682.41,0.17,0.00,0.00,5.27,129.60
TSph3,7/30/06,2006,July,20.23,0.00,0.00,283.36,0.12,0.00,0.00,3.72,76.24
TSph7,8/1/06,2006,August,43.64,0.00,0.00,611.25,0.19,0.00,0.00,5.89,103.86
TSph3,8/2/06,2006,August,21.17,0.00,0.00,296.54,0.12,0.00,0.00,3.72,79.78
TSph7,8/4/06,2006,August,52.42,0.00,0.00,734.20,0.50,0.00,0.00,15.49,47.41
TSph3,8/5/06,2006,August,19.79,0.00,0.00,277.14,0.09,0.00,0.00,2.79,99.42
TSph7,8/7/06,2006,August,49.66,0.00,0.00,695.56,0.23,0.00,0.00,7.12,97.64
TSph3,8/8/06,2006,August,24.00,0.00,0.00,336.18,0.09,0.00,0.00,2.79,120.60
TSph7,8/10/06,2006,August,50.17,0.00,0.00,702.66,0.35,0.00,0.00,10.84,64.82
TSph3,8/11/06,2006,August,23.91,0.00,0.00,334.88,0.10,0.00,0.00,3.10,108.12
TSph7,8/13/06,2006,August,57.43,0.00,0.00,804.37,0.23,0.00,0.00,7.12,112.91
TSph3,8/14/06,2006,August,25.87,0.00,0.00,362.35,0.12,0.00,0.00,3.72,97.49
TSph10,8/15/06,2006,August,36.38,0.00,0.00,509.59,0.30,0.00,0.00,9.32,54.66
TSph11,8/15/06,2006,August,24.32,0.00,0.00,340.66,0.36,0.00,0.00,11.06,30.81
TSph9,8/16/06,2006,August,32.26,0.00,0.00,451.80,0.18,0.00,0.00,5.67,79.71
TSph3,8/16/06,2006,August,30.64,0.00,0.00,429.13,0.46,0.00,0.00,14.25,30.12
TSph7,8/19/06,2006,August,61.60,0.00,0.00,862.83,0.24,0.00,0.00,7.43,116.07
TSph3,8/19/06,2006,August,25.14,0.00,0.00,352.12,0.32,0.00,0.00,9.91,35.53
TSph3,8/22/06,2006,August,22.85,0.00,0.00,320.03,0.22,0.00,0.00,6.81,46.96
TSph7,8/22/06,2006,August,52.08,0.00,0.00,729.50,0.42,0.00,0.00,13.01,56.08
TSph3,8/25/06,2006,August,21.07,0.00,0.00,295.17,0.21,0.00,0.00,6.50,45.38
TSph7,8/25/06,2006,August,65.83,0.00,0.00,922.07,1.08,0.00,0.00,33.45,27.56
TSph3,8/28/06,2006,August,20.32,0.00,0.00,284.57,0.25,0.00,0.00,7.74,36.75
TSph7,8/28/06,2006,August,81.05,0.00,0.00,1135.20,0.78,0.00,0.00,24.16,46.99
TSph3,8/31/06,2006,August,19.28,0.00,0.00,270.05,0.23,0.00,0.00,7.12,37.91
TSph7,8/31/06,2006,August,68.94,0.00,0.00,965.59,0.94,0.00,0.00,29.12,33.16
TSph3,9/3/06,2006,September,19.42,0.00,0.00,271.96,0.23,0.00,0.00,7.12,38.18
TSph7,9/3/06,2006,September,69.82,0.00,0.00,977.94,0.67,0.00,0.00,20.75,47.12
TSph3,9/6/06,2006,September,17.02,0.00,0.00,238.44,0.27,0.00,0.00,8.36,28.51
TSph7,9/6/06,2006,September,59.72,0.00,0.00,836.46,0.60,0.00,0.00,18.58,45.01
TSph3,9/9/06,2006,September,18.27,0.00,0.00,255.92,0.32,0.00,0.00,9.91,25.82
TSph7,9/9/06,2006,September,61.95,0.00,0.00,867.76,0.54,0.00,0.00,16.73,51.88
TSph3,9/12/06,2006,September,19.20,0.00,0.00,268.92,0.40,0.00,0.00,12.39,21.71
TSph7,9/12/06,2006,September,58.53,0.00,0.00,819.84,0.64,0.00,0.00,19.82,41.36
TSph7,9/14/06,2006,September,81.50,0.00,0.00,1141.63,0.71,0.00,0.00,21.99,51.91
TSph3,9/15/06,2006,September,22.53,0.00,0.00,315.63,0.37,0.00,0.00,11.46,27.54
TSph3,9/18/06,2006,September,21.19,0.00,0.00,296.81,0.43,0.00,0.00,13.32,22.28
TSph3,9/19/06,2006,September,18.31,0.00,0.00,256.43,0.44,0.00,0.00,13.63,18.82
TSph11,9/19/06,2006,September,11.19,0.00,0.00,156.71,0.56,0.00,0.00,17.19,9.12
TSph10,9/19/06,2006,September,45.06,0.00,0.00,631.11,0.58,0.00,0.00,17.84,35.37
TSph9,9/20/06,2006,September,33.49,0.00,0.00,469.11,0.27,0.00,0.00,8.33,56.30
TSph3,9/22/06,2006,September,34.25,0.00,0.00,479.74,0.29,0.00,0.00,8.98,53.41
TSph3,9/25/06,2006,September,39.01,0.00,0.00,546.40,0.28,0.00,0.00,8.67,63.00
TSph3,9/28/06,2006,September,36.99,0.00,0.00,518.15,0.33,0.00,0.00,10.22,50.69
TSph3,10/1/06,2006,October,34.43,0.00,0.00,482.29,0.27,0.00,0.00,8.36,57.67
TSph3,10/4/06,2006,October,34.34,0.00,0.00,480.97,0.28,0.00,0.00,8.67,55.46
TSph3,10/7/06,2006,October,40.60,0.00,0.00,568.63,0.29,0.00,0.00,8.98,63.30
TSph11,10/9/06,2006,October,15.45,0.00,0.00,216.38,0.41,0.00,0.00,12.58,17.21
TSph10,10/9/06,2006,October,45.74,0.00,0.00,640.72,0.49,0.00,0.00,15.24,42.04
TSph9,10/10/06,2006,October,35.20,0.00,0.00,493.03,0.44,0.00,0.00,13.75,35.85
TSph3,10/14/06,2006,October,22.55,0.00,0.00,315.87,0.11,0.00,0.00,3.41,92.71
TSph3,10/17/06,2006,October,23.48,0.00,0.00,328.94,0.16,0.00,0.00,4.96,66.37
TSph3,10/20/06,2006,October,22.19,0.00,0.00,310.87,0.15,0.00,0.00,4.65,66.91
TSph3,10/23/06,2006,October,22.47,0.00,0.00,314.79,0.16,0.00,0.00,4.96,63.52
TSph3,10/26/06,2006,October,27.76,0.00,0.00,388.79,0.13,0.00,0.00,4.03,96.56
TSph3,10/29/06,2006,October,25.62,0.00,0.00,358.87,0.16,0.00,0.00,4.96,72.41
TSph7,10/29/06,2006,October,36.95,0.00,0.00,517.53,0.30,0.00,0.00,9.29,55.70
TSph3,11/1/06,2006,November,20.99,0.00,0.00,293.99,0.13,0.00,0.00,4.03,73.01
TSph7,11/1/06,2006,November,35.32,0.00,0.00,494.70,0.30,0.00,0.00,9.29,53.24
TSph3,11/4/06,2006,November,25.77,0.00,0.00,360.93,0.13,0.00,0.00,4.03,89.64
TSph7,11/4/06,2006,November,33.01,0.00,0.00,462.39,0.21,0.00,0.00,6.50,71.09
TSph3,11/7/06,2006,November,22.66,0.00,0.00,317.34,0.15,0.00,0.00,4.65,68.30
TSph10,11/7/06,2006,November,30.24,0.00,0.00,423.50,0.28,0.00,0.00,8.55,49.54
TSph7,11/7/06,2006,November,32.72,0.00,0.00,458.34,0.31,0.00,0.00,9.60,47.73
TSph11,11/7/06,2006,November,19.14,0.00,0.00,268.07,0.61,0.00,0.00,18.99,14.12
TSph9,11/8/06,2006,November,39.24,0.00,0.00,549.65,0.37,0.00,0.00,11.34,48.48
TSph3,11/10/06,2006,November,22.72,0.00,0.00,318.28,0.15,0.00,0.00,4.65,68.50
TSph7,11/10/06,2006,November,31.17,0.00,0.00,436.65,0.30,0.00,0.00,9.29,46.99
TSph3,11/13/06,2006,November,20.46,0.00,0.00,286.63,0.12,0.00,0.00,3.72,77.11
TSph7,11/13/06,2006,November,30.23,0.00,0.00,423.39,0.40,0.00,0.00,12.39,34.17
TSph3,11/15/06,2006,November,20.69,0.00,0.00,289.83,0.12,0.00,0.00,3.72,77.98
TSph7,11/16/06,2006,November,37.87,0.00,0.00,530.40,0.34,0.00,0.00,10.53,50.37
TSph3,11/18/06,2006,November,29.12,0.00,0.00,407.86,0.13,0.00,0.00,4.03,101.29
