source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n,Concd13C,Concd15N,Concd34S
SPOM,-21.8,0.6,5.9,1,-2.9,5.1,2,14.4,1.2,0.4
Red Mangrove,-27.2,0.5,4.2,1.4,7,13.8,6,45.5,0.8,2.4
Epiphytic microalgae,-23.9,6.3,6.5,1.2,7.3,8.2,6,12.9,1.1,1.3
Seagrass,-12.4,4.4,2.2,1.91,2.3,2.45,5,34.9,1.7,0.6
