source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n,Concd13C,Concd15N,Concd34S
SPOM,-17.8825,0.780272388,3.15,0.351662717,7.8375,3.267388101,4,13.5,1.3,0.4
Epiphytic Microalgae,-14.492,7.606248747,1.9,1.163679509,12.38,5.525359717,5,10.4,0.6,0.6
Seagrass,-8.5,0.8,1.3,0.6,8.7,3.1,12,31.6,1.6,0.8
Red Mangrove,-26.7,1.03,3.625,3.01,-7.587,3.26,16,44.03,"1,03",0.53
