source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n,Concd13C,Concd15N,Concd34S
Wet Mangrove,-29.62333333,0.301385689,6.783333333,1.440011574,11.23,0.270739727,3,49.28704815,1.538144676,0.196666667
Dry Mangrove,-30.59666667,0.826579296,7.463333333,0.259293913,21.07333333,2.549535905,3,46.21,1.406666667,1.507008952
Epiphytes,-29.61363636,1.748246394,8.315454545,2.66061032,15.71625,5.661526643,11,37.31839737,2.956131907,1.660166198
Phytoplankton,-35.45,3.040559159,6,1.327905619,24.5,2.121320344,2,32.4,2.6,0.7
