source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n,Concd13C,Concd15N,Concd34S
Mangrove,-29.94833333,1.172167508,4.568333333,1.206157812,1.733333333,3.535362311,6,45.9213548,1.054799329,0.527465503
Phytoplankton,-24.95,0.919238816,4.4,1.858314649,19.5,0.5,3,9.5,0.8,0.2
Filamentous Green Algae,-20.43,3.650082191,4.336666667,0.525388745,-2.1,4.136520277,3,19.65,0.99,0.5274969
Red Macroalgae,-33.335,0.855599205,6.295,0.007071068,17.57,0.862670273,2,24.00033684,2.501426316,3.4
