source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n,Concd13C,Concd15N,Concd34S
SPOM,-21.6,5.5,6.1,0.6,3.3,0.1,2,9.2,0.7,0.5
Red Mangrove,-25.81,1.08,7.91,0.41,-6.29,1.1,3,43.5,1.2,0.34
Epiphytic microalgae,-13.9,5.3,8,1.5,14.1,3.2,3,12,1,1.1
Seagrass,-16,0.36,6.7,0.8,11.1,3.1,8,31,1.7,1.5
