"site","hydroseason","year","group","common_name","functional_grp","d13C","d15N","d34S"
"TS10","Dry",2019,"Consumer","Amphipod","Benthic_invert",-16.89,5.47,18.26
"TS10","Dry",2019,"Consumer","Anemone","Sessile_filter_feeder",-16.58,5.04,NA
"TS10","Wet",2019,"Consumer","Atlantic Modulus","Gastropod",-10.02,5.07,7.9
"TS10","Wet",2019,"Consumer","Atlantic Modulus","Gastropod",-9.95,5.13,7.74
"TS10","Wet",2019,"Consumer","Barracuda","Predator",-12.37,10.53,-0.94
"TS10","Dry",2019,"Consumer","Blue Crab","Crab",-12.87,5.84,8.49
"TS10","Wet",2019,"Consumer","Blue Crab","Crab",-11.95,4.58,10.88
"TS10","Wet",2019,"Consumer","Blue Crab","Crab",-11.5,4.69,6.69
"TS10","Wet",2019,"Consumer","Blue Crab","Crab",-11.65,6.29,1.63
"TS10","Dry",2019,"Consumer","Bluegill","demersal_fish",-11.7,5.66,9.12
"TS10","Wet",2019,"Consumer","Brown Grass Shrimp","Shrimp",-10.87,5.6,10.46
"TS10","Wet",2019,"Consumer","Brown Grass Shrimp","Shrimp",-12.02,5.93,11.17
"TS10","Wet",2019,"Consumer","Cross-Barred Venus","Sessile_filter_feeder",-12.87,5.37,6
"TS10","Wet",2019,"Consumer","Cross-Barred Venus","Sessile_filter_feeder",-12.87,5.76,5.11
"TS10","Dry",2019,"Consumer","Dwarf Seahorse","demersal_fish",-13.87,6.4,9.83
"TS10","Dry",2019,"Consumer","Dwarf Seahorse","demersal_fish",-9.15,8.63,7.48
"TS10","Dry",2019,"Consumer","Gastropods","Gastropod",-12.08,4.84,NA
"TS10","Wet",2019,"Consumer","Goldspotted Killifish","Forage_fish",-11.14,6.84,4.33
"TS10","Wet",2019,"Consumer","Goldspotted Killifish","Forage_fish",-10.61,7.12,4.69
"TS10","Wet",2019,"Consumer","Goldspotted Killifish","Forage_fish",-11.05,7.53,4.88
"TS10","Dry",2019,"Consumer","Hermit crab","Crab",-14.63,5.17,9.78
"TS10","Dry",2019,"Consumer","Hermit crab","Crab",-16.29,5.83,11.87
"TS10","Dry",2019,"Consumer","Hermit crab","Crab",-15.42,6.75,10.77
"TS10","Dry",2019,"Consumer","Hermit crab","Crab",-14.91,10.21,14.13
"TS10","Wet",2019,"Consumer","Hermit Crab","Crab",-13.31,3.72,10.18
"TS10","Wet",2019,"Consumer","Hermit Crab","Crab",-12.68,4.19,9.2
"TS10","Wet",2019,"Consumer","Hermit Crab","Crab",-14.44,5.25,10.48
"TS10","Wet",2019,"Consumer","Mangrove Snapper","Predator",-7.87,11.64,6.29
"TS10","Wet",2019,"Consumer","Mangrove Snapper","Predator",-7.85,11.76,5.81
"TS10","Wet",2019,"Consumer","Mangrove Snapper","Predator",-7.28,12.43,3.95
"TS10","Wet",2019,"Consumer","Pinfish","demersal_fish",-9.87,8.09,4.9
"TS10","Dry",2019,"Consumer","Polychete","Benthic_invert",-13.89,6.7,6.36
"TS10","Wet",2019,"Consumer","Redfin Needlefish","Predator",-9.04,10.94,4.76
"TS10","Wet",2019,"Consumer","Redfin Needlefish","Predator",-11.09,11.3,2.59
"TS10","Wet",2019,"Consumer","Scaly Pearl Oyster","Sessile_filter_feeder",-12.48,4.68,7.01
"TS10","Wet",2019,"Consumer","Scaly Pearl Oyster","Sessile_filter_feeder",-12.88,4.74,6.77
"TS10","Wet",2019,"Consumer","Silver Jenny","demersal_fish",-11.54,9.27,2.21
"TS10","Wet",2019,"Consumer","Silver Jenny","demersal_fish",-11.08,9.35,2.16
"TS10","Wet",2019,"Consumer","Silver Jenny","demersal_fish",-10.07,9.4,1.4
"TS10","Dry",2019,"Consumer","Slug","Benthic_invert",-18.36,4.34,17.6
"TS10","Dry",2019,"Consumer","Slug","Benthic_invert",-19.9,4.76,NA
"TS10","Dry",2019,"Consumer","Snapping Shrimp","Shrimp",-14.26,11.03,10.91
"TS10","Dry",2019,"Consumer","Snapping Shrimp","Shrimp",-15.73,11.4,10.95
"TS10","Dry",2019,"Consumer","Spider Crab","Crab",-12.04,3.27,10.64
"TS10","Dry",2019,"Consumer","Spider Crab","Crab",-15.15,5.34,7.04
"TS10","Dry",2019,"Consumer","Spiny Lobster","Benthic_invert",-13.86,5.46,12.46
"TS10","Dry",2019,"Consumer","Stone Crab","Crab",-10.57,4.2,11.77
"TS10","Dry",2019,"Consumer","Tidewater Mojarra","Forage_fish",-13.57,7.54,7.53
"TS10","Wet",2019,"Consumer","Tidewater Mojarra","Forage_fish",-10.64,8.06,4.81
"TS10","Wet",2019,"Consumer","Tidewater Mojarra","Forage_fish",-10.48,8.09,4.4
"TS10","Wet",2019,"Consumer","Tidewater Mojarra","Forage_fish",-10.58,8.28,4.06
"TS10","Wet",2019,"Consumer","Tidewater Silverside","Forage_fish",-10.02,9.59,2.4
"TS10","Wet",2019,"Consumer","Tidewater Silverside","Forage_fish",-10.02,9.83,2.66
"TS10","Dry",2019,"Consumer","Tunicate","Sessile_filter_feeder",-10.35,5.59,6.88
"TS10","Wet",2019,"Consumer","West Indian False Cerith","Gastropod",-11.96,5.23,1.45
"TS10","Wet",2019,"Consumer","West Indian False Cerith","Gastropod",-12.47,5.32,-0.53
