"site","hydroseason","year","group","common_name","functional_grp","d13C","d15N","d34S"
"SRS6","Dry",2019,"Consumer","Amphipod","Benthic_invert",-31.82,7.14,16.76
"SRS6","Dry",2019,"Consumer","Bay Anchovy","Forage_fish",-24.43,9.29,15.42
"SRS6","Wet",2019,"Consumer","Brown Grass Shrimp","Shrimp",-26.51,7.68,5.53
"SRS6","Wet",2019,"Consumer","Brown Grass Shrimp","Shrimp",-26.93,8.14,5.07
"SRS6","Wet",2019,"Consumer","Brown Grass Shrimp","Shrimp",-25.77,8.67,5.58
"SRS6","Wet",2019,"Consumer","Clown Goby","demersal_fish",-24.73,8.72,2.57
"SRS6","Wet",2019,"Consumer","Clown Goby","demersal_fish",-25.19,8.9,1.2
"SRS6","Dry",2019,"Consumer","Crested Goby","demersal_fish",-23.36,7.41,7.61
"SRS6","Dry",2019,"Consumer","Crested Goby","demersal_fish",-25.55,8.82,7.17
"SRS6","Dry",2019,"Consumer","Crested Goby","demersal_fish",-24.52,9.18,9.03
"SRS6","Dry",2019,"Consumer","Crested Goby","demersal_fish",-24.86,9.48,8.97
"SRS6","Wet",2019,"Consumer","Crested Goby","demersal_fish",-25.91,9.5,1.09
"SRS6","Wet",2019,"Consumer","Crested Goby","demersal_fish",-28.33,10.17,-5.88
"SRS6","Wet",2019,"Consumer","Crested Goby","demersal_fish",-29.54,10.81,-5.68
"SRS6","Dry",2019,"Consumer","Ctenophore","filter_feeder",-30.76,9.19,NA
"SRS6","Dry",2019,"Consumer","Eastern Grass Shrimp","Shrimp",-27.56,9.17,11.54
"SRS6","Wet",2019,"Consumer","Eastern Grass Shrimp","Shrimp",-26.28,8.25,2.37
"SRS6","Wet",2019,"Consumer","Eastern Grass Shrimp","Shrimp",-24.66,8.54,5.23
"SRS6","Wet",2019,"Consumer","Eastern Mosquitofish","Forage_fish",-26.9,8.63,0.33
"SRS6","Wet",2019,"Consumer","Eastern Mosquitofish","Forage_fish",-27.2,8.66,0.58
"SRS6","Wet",2019,"Consumer","Eastern Mosquitofish","Forage_fish",-25.51,9.1,4.06
"SRS6","Dry",2019,"Consumer","Gastropods","Gastropod",-25.76,-2.22,16.33
"SRS6","Wet",2019,"Consumer","Golden Topminnow","Forage_fish",-26.45,7.79,0.06
"SRS6","Wet",2019,"Consumer","Golden Topminnow","Forage_fish",-26.9,8.42,0.51
"SRS6","Dry",2019,"Consumer","Isopod","Benthic_invert",-25.53,5.16,13.15
"SRS6","Wet",2019,"Consumer","Isopod","Benthic_invert",-29.68,5.78,11.09
"SRS6","Wet",2019,"Consumer","Isopod","Benthic_invert",-29.66,5.82,11.77
"SRS6","Dry",2019,"Consumer","Mangrove Periwinkle","Gastropod",-25.6,-1.32,14.3
"SRS6","Dry",2019,"Consumer","Mangrove Periwinkle","Gastropod",-25.84,3.6,12.5
"SRS6","Dry",2019,"Consumer","Mangrove Tree Crab","Crab",-24.51,5.7,14.15
"SRS6","Dry",2019,"Consumer","Pink Shrimp","Shrimp",-26.09,5.33,6.11
"SRS6","Dry",2019,"Consumer","Pink Shrimp","Shrimp",-26.36,6.61,4.38
"SRS6","Dry",2019,"Consumer","Pink Shrimp","Shrimp",-25.57,7.03,6.76
"SRS6","Dry",2019,"Consumer","Pink Shrimp","Shrimp",-26.66,7.04,4.89
