source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n,Concd13C,Concd15N,Concd34S
Periphyton,-24.97,1.845340077,2.765,1.532041122,12.706,5.42790291,6,9.96286627,0.61133538,0.32154908
Floc,-29.39166667,1.360020833,2.35,0.501677187,16.04,0.657000761,6,22.968252,2.278399738,0.242933634
Dry Sawgrass,-26.42666667,1.373110823,-1.39,3.576436774,13.91,2.209321163,3,45.26119762,1.17598868,0.136741705
Wet Sawgrass,-27.45333333,0.423359579,-4.48,0.572974694,8.143333333,10.71787914,3,47.17823366,0.918611975,0.333333333
