"mean","median","lower_CI","upper_CI"
0.159999115581308,0.124878602707173,0.00978162469610211,0.469981725723049
0.220193124545728,0.211015709992838,0.00832756361109366,0.514668404621931
0.251474217411962,0.244021991536608,0.0104153352792479,0.575882762025298
0.146499795425045,0.12239188548988,0.00536932995885333,0.420997215853929
0.150609668635324,0.120303900149457,0.00611122761616091,0.460794161001766
0.194032885362161,0.168055189757496,0.00382627401931716,0.531072142028555
0.437916998371406,0.42591401685263,0.199369440482136,0.718023512048733
0.439274194667066,0.432291725012483,0.247904126356124,0.670827061264309
0.159999115581308,0.124878602707173,0.00978162469610211,0.469981725723049
0.251474217411962,0.244021991536608,0.0104153352792479,0.575882762025299
0.150609668635324,0.120303900149457,0.00611122761616091,0.460794161001766
0.437916998371406,0.42591401685263,0.199369440482136,0.718023512048733
