source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n,Concd13C,Concd15N,Concd34S
SPOM,-21.6375,5.471735709,6.06,0.581778881,3.7225,4.914145399,4,9.247966313,0.704550139,0.2125
Mangrove,-25.81333333,1.079089122,7.91,0.41,-6.29,1.102678557,3,43.52675235,1.208058975,0.343333333
Epiphytes,-17.67125,4.310838293,7.81875,1.003329279,14.14333333,3.210067497,3,10.98375,1.04125,1.078862286
Seagrass,-10.6,2.18,7.14,1.35,12.29,4.2,12,32.86,2.03,0.63
