source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n,Concd13C,Concd15N,Concd34S
Sawgrass,-26.215,1.004723843,0.963333333,4.295670689,16.68666667,2.916097849,6,46.03367576,0.980707439,0.193296393
Periphyton,-25.87,1.114737637,3.98,0.72282778,22.02166667,3.30187472,6,13.79254922,0.890577591,0.163681567
Floc,-28.92666667,2.464164497,3.056666667,1.214984225,20.806,4.563401144,6,31.29493526,2.866710574,0.649920535
Phytoplankton,-35.45,3.040559159,6,1.327905619,24.5,2.121320344,2,9.9,1.2,0.7
