source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n,Concd13C,Concd15N,Concd34S
Mangrove,-30.11,0.770610148,7.123333333,0.997530284,16.15166667,5.629985494,6,47.74852408,1.472405671,0.851837809
Epiphytes,-29.61363636,1.748246394,8.315454545,2.66061032,15.71625,5.661526643,11,37.31839737,2.956131907,1.660166198
Phytoplankton,-35.45,3.040559159,6,1.327905619,24.5,2.121320344,2,32.4,2.6,0.7
Floc,-28.92666667,2.464164497,3.056666667,1.214984225,20.806,4.563401144,6,31.29493526,2.866710574,0.649920535
