source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n,Concd13C,Concd15N,Concd34S
SPOM,-21.7825,0.57575313,5.8925,0.969789496,1.5325,5.934803423,4,14.4,1.2,0.4
Mangrove,-27.39,0.926174929,4.181666667,0.994613828,-6.291666667,3.983844458,8,45.36860972,0.930231482,1.633564089
Epiphytes,-24.44533333,2.805713219,6.396666667,1.371988477,5.103636364,8.99965363,15,18.11538288,3.048465549,1.621210618
Seagrass,-14.03,2.679277109,1.71,1.737742789,6.36,4.993492175,5,35.26,1.78,0.56
