Source         ,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S
SPOM,1.95,0.3,5.1,1,0.75,0.54
Mangrove,1.95,0.3,5.1,1,0.75,0.54
Epiphytes,1.95,0.3,5.1,1,0.75,0.54
Seagrass,1.95,0.3,5.1,1,0.75,0.54
