
#################################################################
# Summary Statistics
#################################################################

DIC = 178.9072

                                                    Mean    SD  2.5%    5%   25%   50%   75%    95%  97.5%
Epsilon.1                                          3.842 2.450 0.904 1.124 2.089 3.259 4.949  8.598 10.135
p.Wet.Crested Goby.Mangrove                        0.710 0.142 0.398 0.454 0.618 0.725 0.816  0.919  0.937
p.Wet.Crested Goby.Phytoplankton                   0.171 0.105 0.022 0.032 0.087 0.153 0.239  0.372  0.417
p.Wet.Crested Goby.Red Macroalgae                  0.005 0.006 0.000 0.000 0.001 0.003 0.007  0.016  0.020
p.Wet.Eastern Grass Shrimp.Filamentous Green Algae 0.096 0.089 0.004 0.007 0.030 0.069 0.137  0.267  0.323
p.Wet.Eastern Grass Shrimp.Mangrove                0.696 0.155 0.382 0.429 0.586 0.705 0.818  0.929  0.950
p.Wet.Eastern Grass Shrimp.Phytoplankton           0.201 0.125 0.017 0.027 0.098 0.186 0.287  0.427  0.465
p.Wet.Eastern Grass Shrimp.Red Macroalgae          0.007 0.009 0.000 0.000 0.002 0.004 0.009  0.023  0.032
p.Wet.Eastern Mosquitofish.Filamentous Green Algae 0.116 0.103 0.005 0.008 0.038 0.090 0.165  0.320  0.380
p.Wet.Eastern Mosquitofish.Mangrove                0.665 0.154 0.358 0.404 0.560 0.669 0.777  0.916  0.941
p.Wet.Eastern Mosquitofish.Phytoplankton           0.213 0.123 0.020 0.034 0.115 0.200 0.303  0.428  0.466
p.Wet.Eastern Mosquitofish.Red Macroalgae          0.006 0.007 0.000 0.000 0.001 0.004 0.008  0.020  0.028
p.Wet.Golden Topminnow.Filamentous Green Algae     0.113 0.100 0.005 0.008 0.036 0.087 0.160  0.312  0.380
p.Wet.Golden Topminnow.Mangrove                    0.678 0.153 0.372 0.421 0.572 0.681 0.791  0.920  0.948
p.Wet.Golden Topminnow.Phytoplankton               0.204 0.122 0.019 0.030 0.104 0.190 0.291  0.419  0.462
p.Wet.Golden Topminnow.Red Macroalgae              0.006 0.008 0.000 0.000 0.001 0.004 0.008  0.020  0.025
p.Wet.Pink Shrimp.Filamentous Green Algae          0.088 0.079 0.004 0.006 0.028 0.067 0.126  0.241  0.292
p.Wet.Pink Shrimp.Mangrove                         0.749 0.142 0.445 0.490 0.655 0.767 0.861  0.948  0.965
p.Wet.Pink Shrimp.Phytoplankton                    0.158 0.110 0.012 0.021 0.072 0.137 0.224  0.375  0.416
p.Wet.Pink Shrimp.Red Macroalgae                   0.004 0.005 0.000 0.000 0.001 0.003 0.006  0.014  0.020
p.Wet.Sailfin Molly.Filamentous Green Algae        0.088 0.082 0.004 0.006 0.029 0.064 0.124  0.249  0.295
p.Wet.Sailfin Molly.Mangrove                       0.736 0.146 0.431 0.478 0.637 0.749 0.853  0.946  0.966
p.Wet.Sailfin Molly.Phytoplankton                  0.171 0.115 0.012 0.020 0.079 0.150 0.244  0.392  0.430
p.Wet.Sailfin Molly.Red Macroalgae                 0.005 0.006 0.000 0.000 0.001 0.003 0.006  0.015  0.020
p.Wet.Salt Marsh Mud Crab.Filamentous Green Algae  0.134 0.104 0.007 0.012 0.052 0.113 0.190  0.338  0.393
p.Wet.Salt Marsh Mud Crab.Mangrove                 0.602 0.152 0.301 0.351 0.500 0.604 0.711  0.851  0.879
p.Wet.Salt Marsh Mud Crab.Phytoplankton            0.259 0.127 0.045 0.067 0.161 0.250 0.347  0.477  0.515
p.Wet.Salt Marsh Mud Crab.Red Macroalgae           0.005 0.006 0.000 0.000 0.001 0.004 0.008  0.017  0.021
p.Wet.Silver Jenny.Filamentous Green Algae         0.103 0.102 0.004 0.007 0.031 0.072 0.140  0.299  0.381
p.Wet.Silver Jenny.Mangrove                        0.731 0.148 0.411 0.472 0.635 0.746 0.844  0.942  0.963
p.Wet.Silver Jenny.Phytoplankton                   0.161 0.107 0.012 0.022 0.075 0.141 0.231  0.363  0.399
p.Wet.Silver Jenny.Red Macroalgae                  0.005 0.006 0.000 0.000 0.001 0.003 0.007  0.016  0.021
p.Wet.Striped Mullet.Filamentous Green Algae       0.098 0.095 0.004 0.007 0.030 0.069 0.137  0.287  0.357
p.Wet.Striped Mullet.Mangrove                      0.713 0.155 0.383 0.437 0.604 0.726 0.837  0.938  0.957
p.Wet.Striped Mullet.Phytoplankton                 0.183 0.120 0.015 0.023 0.086 0.163 0.264  0.406  0.454
p.Wet.Striped Mullet.Red Macroalgae                0.006 0.008 0.000 0.000 0.001 0.003 0.008  0.020  0.027
p.Wet.Tidewater Mojarra.Filamentous Green Algae    0.133 0.110 0.006 0.011 0.049 0.108 0.188  0.349  0.415
p.Wet.Tidewater Mojarra.Mangrove                   0.679 0.148 0.365 0.414 0.581 0.685 0.791  0.911  0.936
p.Wet.Tidewater Mojarra.Phytoplankton              0.183 0.110 0.018 0.029 0.096 0.166 0.256  0.384  0.425
p.Wet.Tidewater Mojarra.Red Macroalgae             0.005 0.006 0.000 0.000 0.001 0.003 0.007  0.017  0.022
