source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n
Peat,-27.27428571,1.51213819,4.451428571,0.205380019,-4.802857143,6.298414389,7
SPOM,-31.3875,1.360989224,4.34,1.387605852,-2.925,0.770746391,2
Epiphytic microalgae,-29.02,1.713670525,6.955,1.461791139,13.5375,5.293759691,4
