source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n,Concd13C,Concd15N,Concd34S
Mangrove,-27.98166667,0.49458737,3.843333333,1.545647653,-10.06666667,1.58899549,6,46.9,0.9,0.7
Epiphytic microalgae,-29,1.7,7,1.5,13.5,5.3,4,28.3,1.8,1.2
Phytoplankton,-38.9,1.13137085,4.5,0.83,19.5,0.01,2,24.3,1.9,0.7
