source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n,Concd13C,Concd15N,Concd34S
Sawgrass,-26.2,1,1,4.3,16.8,2.6,6,46.4,1,0.2
Periphyton,-25.9,1.1,4,0.7,21.5,5.4,5,13.8,0.9,0.3
Floc,-28.9,2.5,3.1,1.2,20.6,5,5,31.3,2.9,0.7
Phytoplankton,-35.45,3.040559159,6,1.327905619,24.5,2.121320344,2,9.9,1.2,0.7
