"site","hydroseason","group","common_name","functional_grp","n","d13C","d13Csd","d15N","d15Nsd","d34S","d34Ssd"
"SRS6","Dry","Consumer","Bay Anchovy","Forage_fish",1,-24.43,NA,9.29,NA,15.42,NA
"SRS6","Dry","Consumer","Crested Goby","demersal_fish",4,-24.5725,0.914890703854838,8.7225,0.915655502904886,8.195,0.947048045243746
"SRS6","Dry","Consumer","Eastern Grass Shrimp","Shrimp",1,-27.56,NA,9.17,NA,11.54,NA
"SRS6","Dry","Consumer","Mangrove Tree Crab","Crab",1,-24.51,NA,5.7,NA,14.15,NA
"SRS6","Dry","Consumer","Pink Shrimp","Shrimp",6,-26.2866666666667,0.814215368724189,7.045,1.04786926665496,5.89166666666667,1.36263592594158
"SRS6","Dry","Consumer","Porceline Crab","Crab",2,-24.34,2.00818325856979,5.855,0.601040764008566,10.585,0.558614357137373
"SRS6","Dry","Consumer","Salt Marsh Mud Crab","Crab",3,-23.0533333333333,2.9193549515832,6.31,1.57771987374185,9.80666666666667,1.17069779761189
"SRS6","Dry","Consumer","Tidewater Mojarra","Forage_fish",2,-24.125,0.558614357137372,9.665,0.0353553390593266,7.26,0.763675323681471
"SRS6","Wet","Consumer","Brown Grass Shrimp","Shrimp",3,-26.4033333333333,0.587310253046321,8.16333333333333,0.495412286215566,5.39333333333333,0.281128677536343
"SRS6","Wet","Consumer","Clown Goby","demersal_fish",2,-24.96,0.325269119345812,8.81,0.127279220613578,1.885,0.96873629022557
"SRS6","Wet","Consumer","Crested Goby","demersal_fish",3,-27.9266666666667,1.84830553029885,10.16,0.655057249406493,-3.49,3.96765673918498
"SRS6","Wet","Consumer","Eastern Grass Shrimp","Shrimp",2,-25.47,1.14551298552221,8.395,0.205060966544098,3.8,2.02232539419353
"SRS6","Wet","Consumer","Eastern Mosquitofish","Forage_fish",3,-26.5366666666667,0.901683610438457,8.79666666666667,0.263122278291545,1.65666666666667,2.08509791936334
"SRS6","Wet","Consumer","Golden Topminnow","Forage_fish",2,-26.675,0.318198051533946,8.105,0.445477272147525,0.285,0.318198051533946
"SRS6","Wet","Consumer","Pink Shrimp","Shrimp",2,-28.49,0.537401153701777,6.54,1.9657568516986,4.635,1.73241161390704
"SRS6","Wet","Consumer","Sailfin Molly","Forage_fish",3,-28.49,0.378021163428717,5.69333333333333,0.606657509088393,-2.94333333333333,3.14678142446108
"SRS6","Wet","Consumer","Salt Marsh Mud Crab","Crab",2,-26.27,1.35764501987817,7.17,0.777817459305202,3.26,2.80014285349873
"SRS6","Wet","Consumer","Silver Jenny","demersal_fish",3,-28.2266666666667,0.741911944460616,9.35333333333333,0.568536131950586,-5.56666666666667,1.47886217523248
"SRS6","Wet","Consumer","Striped Mullet","demersal_fish",1,-30.67,NA,7.82,NA,5.44,NA
"SRS6","Wet","Consumer","Tidewater Mojarra","Forage_fish",1,-26.8,NA,8.69,NA,-0.27,NA
