source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n
Mangrove,-27.98166667,0.49458737,3.843333333,1.545647653,-10.06666667,1.58899549,6
Epiphytic microalgae,-29,1.7,7,1.5,13.5,5.3,4
Phytoplankton,-38.9,1.13137085,4.5,0.83,19.5,0.01,2
Macroalgae,-36.8,4.2,6.3,0.7,15.3,4.5,2
