Source         ,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S
Periphyton,1.3,0.3,3.3,0.26,0.5,0.54
Plant,1.3,0.3,3.3,0.26,0.5,0.54
Floc,1.3,0.3,3.3,0.26,0.5,0.54
