source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n
Mangrove,-29.9,1.2,4.6,1.2,1.7,3.6,6
Macroalgae,-40.566,4.239596941,5.123,0.941488774,13.132,7.933124367,10
Phytoplankton,-24.95,0.919238816,4.4,1.858314649,19.5,0.01,2
